Hindi,English
तराज नहीं होगा उनको तो जो आप कहेंगी वो,They won't have control over what you say
खामोशी से जाके करती रहेंगी इसी बात का,Silence will keep quiet. That's what you want.
नाजायज फायदा उठा रही है ना आप चाची,"Najaz is taking advantage of you, aunty."
जवेरिया आहिस्ता बोलो नीचे मेहमान आए बैठे,The guests came down to speak softly
हैं और तुम्हारी आवाज नीचे तक जा रही है,And your voice is going down.
तो जाती है तो जाए सुनना है जिसको सुन ले,"As for him who hears and hears,"
सच बोलते हुए कैसा,How They Speak the Truth
डर,Fear
हद हो गई बदतमीजी की बहुत लंबी जुबान होती,That would have been so long sanctimony!
जा रही है इसकी जाकर लगाती हूं शिकायत,I'm going to complain about her going on.
भाभी,MEDITERRANE
को चाची बात,aunty talk
सुन क्या जरूरत चाची को नाराज करने की वाह,Listen what aunty needs to be angry.
भाई वाह यह सही है नेकी कर और दरिया में,"O my brother! That is the right thing, and that you do good in the sea."
डाल आप के लिए तो कह रही थी मैं आप,I was saying to you so
एहतेशाम ने कितना गलत किया आपके साथ आपसे,I'm so sorry you did it.
रिश्ता तोड़ दिया उसने आपको अभी भी उसकी,He broke the relationship you still had
और चाची की नाराजगी की परवा है नफरत होने,And it's about to be hated.
लगी है मुझे इन दोनों से,I've been on two of them.
एक तो इन दोनों की,One of the twos.
च अच्छा किया जो तुम आ गई मैं तुम्हें फोन,I'm gonna call you what you've come
करने वाली थी मेरा बहुत दिल घबरा रहा था,I was going to be very nervous.
इसलिए आ गई सोचा तुमसे बातें करूंगी तो,"So it came that I shall speak to you, and then I shall speak to you."
ठीक हो जाऊंगी अच्छा,I'm gonna be fine.
क्या अभी करते हैं बातें पहले मैं तुम्हें,What do you just do?
मिठाई खिलाती,Cows Corte
हूं सुरैया मिठाई ले भी आओ मिठाई किस खुशी,I'm also a sweet sweet and sweet
में पहले खा लो फिर बताती हूं किस खुशी,What joy I have in eating first?
में है,Has
ये मिठाई मैं खा लूंगी तो मुझे बताओ तो,So tell me if I'll eat this sweet.
सही किस खुशी में खिला रही हो अवद का,To what happy condition of feeding the right?
मैंने रिश्ता तय कर दिया है अनुष के,I've decided to attend.
साथ,with
क्या,What
बात इतनी परेशान क्यों हो कहां चली गई,What made the matter so upset?
थी नायला मैं तुमसे बात कर रहा,I was talking to you
हूं क्या बताऊं,What am I supposed to say?
आपको यास्मीन ने आयशा के रिश्ते की बात की,Yasmin spoke to you about her relationship
थी,was
मुझसे,From me
अच्छा तो खुशी की बात,"Happily, though, the Bible does not say that we are living in ""the conclusion of the system of things. """
है अच्छे लोग हैं इज्जत दौलत खानदान,Good People Are a Man's Family
अल्लाह ताला ने हर शय से नवाजा उन्हे फिर,"And Allah hath shut them not forth from every side, and then they have not turned aside."
और क्या,And what?
चाहिए,Needs
लायला तुम फौरन हा,I'm going to kill you immediately.
कर पहले आप मेरी बात तो मुकम्मल होने दे,Let me get the rest of what you say first.
मैंने अपने पैरों पर खुद ही कुल्हाड़ी,"I tried to get my leg on my feet, but I did not know where to go."
मारी है क्या बात,What Marie Has Done
असल में यास्मीन आयशा को बहुत पसंद करती,"In fact, Yasmin loved her"
है और वह अपने बेटे की दुल्हन बनाना चाहती,And she wants to make her son's bride
है और मेरी गलतफहमी की वजह से मेरी,And because of my misunderstandings.
बेवकूफी की वजह से मैंने आसम से कह दिया,I was surprised to learn that I had found the truth. I was surprised to learn that I had found the truth.
कि आयशा का रिश्ता तेशाम से तय हो गया,That she's settled in her relationship
है कितनी बेवकूफ हो ना मैं मेरी वजह से,Isn't it so stupid that I'm so stupid?
मेरी बच्ची का इतना अच्छा रिश्ता हाथ से,So good my daughter's relationship with me
निकल,Out
गया,Done
लायला एक बार यास्मिन से जाकर बात कर लो,Take a word from Leyea once or so.
तु अब बात करने का क्या फायदा यास्मीन ने,What advantage do you have to talk now?
अपनी देवरानी की बेटी अनुषा से अपने बेटे,Her daughter-in-law's daughter-in-law to her son
का रिश्ता तय कर,What can we do to make sure that our relationship is stable?
दिया,Given
सच बड़ा अफसोस हो रहा है मुझे इतना अच्छा,I'm really sorry so good
रिश्ता हाथ से निकल गया मेरी बच्ची कितना,How I Found My Child Out of Relationship
खुश रहती वहां,rejoicing over the loss of a loved one in death
पर,on the
जुबान देखिए तुमने उस लड़की की किस कदर,Look at how you appreciate that girl
मुंह फट है वो जो मुंह में आए वो कह देती,The mouth is torn and she says what comes in her mouth.
है मुझे जवेरिया जैसी जुबान दराज लड़की को,"It's like Janjan to me, The Golden Girl."
अपनी बहू बनाकर अपनी और तुम्हारी जिंदगी,By making your daughter-in-law and your life
अजाब नहीं करनी है अम्मी क्या हो गया अब,There's no Azimm what happened now.
जानती तो जवेरिया को बचपन से ऐसी है वो कम,I knew she was less than a child.
से कम दिल में जो बात होती है वही जुबान,At least the words in the heart are the words hypothecous
पर होती है दूसरों की तरह मुनाफ कत नहीं,but is not as effective as others are.
रखती वो दिल,She cares for the heart.
में और मुझे ऐसी ही लड़कि अच्छी लगती है,And I like such a fight.
बस वाह बेटा वाह इसीलिए कहते हैं मोहब्बत,That's just what a good son says love
अंधी होती है तुम्हारी अकल पर तो पर्दा,Lo! it is thy covering that is blind.
पड़ गया जो तुम्हे जवेरिया की खामिया भी,What happened to you to eat of Bethlehem?
उसके खूबिया नजर आ रही है अमी आप गुस्सा,She's having a bad eye. Amlly gets angry with you.
क्यों हो रही है अच्छा मेरी बात सुने एक,Listen to me good why being in a good mood.
बार मेरी उससे शादी हो जाएगी ना उसके बाद,"I'm going to get married, and I'm not going to get married again."
जैसे मैं चाहूंगा वैसे चलाऊंगा उसे और और,I'll send her and her as I want.
मैं आपसे प्रॉमिस करता हूं वो वो आपके साथ,I'll argue with you he's with you.
बदतमीजी नहीं करेगी हरगिज नहीं,Unprejudicious won't defeat
करेगी अम्मी अम्मी,Immmma
प्लीज आप ताई जान और ताया जान से बात करें,Please speak to the Hai Soul and the Tata
ना प्लीज मेरी,Please don't stop me.
खातिर,Fort
प्रशंसा,Praise
प्रशंसा,Praise
क्या हुआ यहां क्यों बैठी है आप,What's sitting here is why you sit here?
ऐसे नींद नहीं आ रही,It's not going to sleep.
बेटा बहुत,Too much son
बेचैनी कभी कभी गलत,"In some cases, it may be wise to ask yourself, "" Is there any way I can cope with this situation? '"
फैसले पछतावा बनकर आपका सुकून छीन लेते,It would be a relief to make decisions that would relieve your sadness.
हैं,. . . . .
इंसान को अपना हर फैसला अल्लाह पे छोड़,Let the human decide on what he wants.
देना चाहिए ना अर अल्लाह ने उसकी तकदीर,Allah should not give him his fate
में कुछ लिखा है तो वो उसको मिलके,I've got something in it so he's gonna get it.
रहेगा फ अल्लाह ने उसकी तकदीर में जो नहीं,Allah has not decreed its destiny.
लिखा वो लाख कोशिश भी कर ले उसे नहीं,Write he don't even try a million.
मिलेगा मुझे तुम्हारी बहुत फिक्र है बेटा,"I'm worried about you, son."
तुम मेरी बहुत प्यारी बेटी,You love my dear daughter.
हो मगर क्या,What the hell are you doing?
करू,QUUGE
अफसोस लोग तुम्हारा बातन नहीं जाहिर देखना,Sadly people don't see you clearly
चाहते,User ID:
हैं आप लोगों की परवाह करना छोड़ दे ना,Are you giving up caring for people?
मैंने कहा ना आपसे कि अल्लाह ने मेरे नसीब,"I said to you, ""God has given me my fortune."""
में जो लिखा है मुझसे कोई नहीं छीन सकता,No one in what's written
मुझे अला की सात में पूरा,Complete me in the seven of Ala's
भरोसा मैं आज कल सूरत आल इमरान की तफसीर,"I'm confident today, I'll take refuge in Al-Alefsin."
और तर्जुमा पढ़ रही,And Albert Reading.
हूं उसकी एक आयत का महूम,One of his verses is Mahum
है अगर अल्लाह तुम्हारी मदद,"And if Allah helps you, then there is no help for you."
करे तो कोई भी तुम पर लिब नहीं हो,If he doesn't go on you
सकता अगर वह तुम्हें छोड़ दे,Maybe if he leaves you
उसके बाद कौन री मद,Then who Renew item
कर ईमान वालो को अल्ला पर भरोसा करना,"And trust those who believe in Ahilah (i.e. Prophet Muhammad SAW, the Quran, and Prophet Muhammad SAW)."
चाहिए जिस दिन से सरत पढ़ रही,Should the day be reading from the past
हूं ना दिली सुकून मिल रहा है,I have peace of heart.
मुझे ऐ जैसे के हसला सा हो गया जिंदगी,Life's turned out to me like Aila Hasla
में अल्ला पर भरोसा बहुत बड़ी नेमत है,Trusted in Babylon is a great blessing.
ना उमी,Nahi
ना पर यकीन रख,Do not be convinced.
आप अल्ला मेरी बच्ची का नसीब अच्छा,You good my baby-in-law's fortune.
करे,Do it.
उठे बहुत देर हो गई,The waked up was too late
है कुछ नहीं सोचना है,Has Nothing to Think
आपने किसी चीज परेशान नहीं होना आपने सब,You have nothing to worry about.
ठीक हो जाएगा ठीक है,It'll be okay.
तुम्हारे घर वाले इतना प्यार और मोहब्बत,So much love and love are in your house
करते हैं मुझ मुझे जाने ही नहीं देते,Don't let me go
क्योंकि उन्हें पता नहीं है कि कितने,Because they don't know how much
खतरनाक आदमी हो तुम और किसी खास मकसद से,You're a dangerous man and for some particular reason.
आए हो हा,Come on.
वैसे मकसद तो काफी,So Much to Purpose
खास आप ना मेरे चचा का पीछा छोड़,Special you left after my uncle
दे मैंने आपके लिए एक बहुत अच्छा ता ढूंढा,I've found a very nice look for you.
लगता है आज ईद का चांद दोपहर में निकल आया,It looks like the dinner moon got out at noon.
ईद का चांद तो नहीं निकला लेकिन बहुत जद,The date did not contain but was too late
तुम्हे दिन में तारे नजर आने,You see the star in the day.
वाले अल्हम्दुलिल्लाह मैं बिल्कुल ठीक ठाक,A girl named Alanda I've made it all right.
नायला तुम बहुत खुशनसीब हो अल्लाह ने,God has made it easy for you to rejoice.
तुम्हें दो बेटियां दी आप मुझे ही देखो,You give me two daughters
अकेली सारा दिन काम करती हू,She worked all day long.
सच पूछो तो बेटी की कमी बहुत शिद्दत से,"Indeed, the girl's loss is too great"
महसूस होती है मुझे इतने सारे काम पड़े,I feel that I have so much work to do
हुए हैं ख ही नहीं दे र मैं तो अकेली काम,I'm not alone if I work alone
कर कर के थक गई हूं अब अब तुम्हें तो पता,I'm tired of doing it. Now you know you're gonna know.
है मंगनी के फंक्शन के इतने काम होते हैं,There are so many functions of an engagement function
सारे काम मुलाजिमों से तो नहीं करवाए जा,All the work has not been accomplished by natives
सकते ना काश मेरी भी बेटी होती तुम इतना,You couldn't have been so much my daughter
परेशान क्यों हो रही हो यासमीन तुम कहती,Yasmin says why you're upset.
हो तो मैं आयशा और जवेरिया को भिजवा देती,Then maybe I'll get her and get her in..
हूं मेरी बच्ची भी तो तुम्हारी ही बेटी है,"I'm my daughter too, your only daughter."
ना सच कह रही हं नायला अगर तुम ऐसा कर,"No, it's not true if you do that."
दोगे ना कसम से मेरे बहुत सारे मसाइल हल,You won't swear it to me by a lot of Massilells.
हो जाएंगे काफी काम निबट जाएंगे मैं समझ,We're going to have a lot of work to do. I'll understand.
सकती हूं बहुत काम होते हैं चलो मैं आयशा,"Let's do a lot of things, I'll have her."
से कहती हूं ऑफिस के बाद वो तुम्हारे पास,Let me tell you what that's after the office.
आ जाएगी और जवेरिया को मैं तुम्हारे पास,And I will come to you to Bethlehem.
अभी भेजती हूं थोड़ी देर,I'll send you a while
में तुम फिक्र मत करो सब ठीक हो जाएगा,"Don't worry about it, it'll be all right."
इंशाल्लाह,Insurgent
चलो ठीक है बहुतबहुत शुक्रिया,Let's go thank you very much.
चलो ठीक है खुदा,Let's go Allah's right.
हाफिज आयशा जीमी बेटा और जवेरिया अमी,HIFIZE GMILAND AND JARIE AILA
प्लीज सारी बातें सुन ली हमने आपकी मैं व,Please hear all the words. We have listened to you and I.
नहीं जाऊंगी मैं बता रही हूं पहले ही कम,I'm not going to tell you what's happening.
मुलाजिम है क्या उनके घर में जो उन्हे और,Is There a Creator Who Cares About Them and Their Homes?
जरूरत पड़ गई है और अगर कम पड़ रहे तो एक,We've got to need it and if you're low
दो और रख ले,Have two more
जवेरिया अम्मी व कर सकते हैं ना मैं इसलिए,Zariamami and I can do this so
कह रही हूं अरे भाई हर एक पर तो भरोसा,I'm saying it's everyone's trust.
नहीं किया जा सकता,cannot be performed
ना मंगनी वाला घर है लाखों का सामान है,"There's no engagement home, there's millions of stuff."
कपड़े हैं जेवर है अब मुलाजिमों भी तो,"Wears are frugals, so much so much"
भरोसा नहीं कर सकती ना अगर तुम चली जाओगी,Can't trust if you leave
घिस तो नहीं जाओगी कभी किसी के काम भी आ,"You won't wear out, no matter how useful"
जाते हैं आप ही है ना आप ही आएंगी काम,It's not you or you're working.
उनको बहुत शौक है वैसे भी उन्हें भेजे मैं,They love them anyway I send them
कोई मुलाजिम थोड़ी हूं किसी की यार अम्मी,I'm a little bit a man's friend.
खुद सोचे आप,Would you like to learn more about God?
जवेरिया अम्मी छोड़े उसे,Let Zariami leave her
आप यास्मीन अंटी को कॉल करके बोले कि आयशा,You called Yasmin Altie and said that she was pregnant
आ जाएगी और सारे काम कर देगी देखो आयशा यह,She shall go forth and work.
लड़की बहुत खुद सर होगी मजाल है जो कोई भी,The girl must be very proud of herself
मेरी बात मानती हो छोड़े ना अम्मी उसे अभी,"Listen to me, Mom, please leave her now"
छोटी है इतनी अकल नहीं उसे अरे बेटा तुमसे,"Little so good it's not so bad from you, son."
दो साल ही तो छोटी है तुमने मुझे आज तक,Two years is too short for me till this day.
तंग नहीं किया जितना यह लड़की मुझे तंग,Not as this girl closed me up
करती है मेरी कोई बात नहीं,It doesn't matter to me.
मानती ना चढ़ाए ब्लड प्रेशर हाई हो जाएगा,Shedding blood pressure will gain high
बिला बज नहीं तो बंदे को किसी के काम भी,It does not seem to be the work of anyone.
तो आना चाहिए ना यास्मीन की बेटी ही नहीं,So let's not have any daughter of Yasmin
है चलो जाकर उनकी हेल्प करा,Let's go and help them.
दे मुझे बता दीजिएगा मैं सारे काम उके कर,Tell me I can do everything
दू ठीक है अरे बेटा तुम तो चली ही जाओगी,"Okay, son, you'll just go away."
ना इसको भी तो एहसास करना चाहिए ना मैं,I shouldn't even realize it
जाके कपड़े चेंज करती आप राब,Zakae makes you change your clothes
प्रशंसा,Praise
कर,Do it.
आयशा वक्त कम है और बहुत सारे काम पड़े,She has less time and more work.
हुए हैं बेटा ये दुपट्टे देखे तुमने इनका,Sons! You saw them in the cover.
मुझे बताओ कि इनका क्या करना है समझ नहीं,Tell me what they don't understand to do
आ रही कि ये देखो ना ये वाला दुपट्टा इसकी,Behold! It is the covering thereof.
कढ़ाई कराऊ लेसेस लगाऊं क्या करूं जरा,What do you think I should do?
मशवरा दो मुझे आंटी अगर आप इस दुपट्टे की,"Keya, let me have aunty if you put this upper hand of yours."
बात करें,Talk
तो कॉपर की एंब्रॉयडरी और,Then anthropomory of the Copper and
गोल्डन कलर में इसकी पाइपिंग करवा लेते,Make it pipe to Golden Color
हैं और इसका,And it has...? . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
बताओ आप एक काम करें ना आप ड बट्टे मुझे,"Tell me you do a job, don't you pay me?"
दे दे मैं मैं यह मुकम्मल करके देती हूं,Give it to me.
आपको तुम खुद करोगी हा तो इसमें मुश्किल,"If you do it yourself, it's hard for you to do it."
वाला क्या काम मैं आपको आज ही मुकम्मल,What the hell's gonna do to you today?
करके दे दूंगी यह सब दुपट्टे में अलग कर,Let's draw it in the blanket.
देती हूं बहुत प्यारी बच्ची हो तुम जीती,I give you a very sweet girl you're alive
रहो अच्छा मुझे यह बताओगे एक तो पहले यह,I'm gonna tell you this one before you know it.
सेट देखो कैसा,Look how set
य बहुत खूबसूरत,Very beautiful
है पसंद आए तुम्हें बहुत प्यारे है बहुत,I love you very much.
मेहनत की है,The Work Is Hard
मैंने मुझे समझ नहीं आ रही थी कि कौन से,I didn't understand who.
सेट लूं पूरी मार्केट घूमी हूं फिर जाके,Set yourself up and go back to the market.
ली है मैंने ये अच्छा है ना बहुत खूबसूरत,I've taken this is very beautiful
है आंटी आपकी चॉइस बुरी कैसे हो सकती है,Here's how aunty can be bad about your choice.
और ये देखो ये तो बहुत ही हसीन है ये,"and behold, they are excellent!"
लहंगे के साथ कैसा,What about Lingg
लगेगा बहुत,It will be very hard
खूबसूरत ठीक है मैं फिर आपको हर चीज की,Beautiful okay I then everything you've done
लिस्ट बनाकर मैसेज कर दूंगी हां बेटा यह,"Listing list will text it, son."
ब्लैक वाले की चूड़ियां रहती,The Black Sea was a place of torment.
हंसी,[Laughing]
हैं,. . . . .
इतने प्यारे बाल है,It's so cute
तुम्हारा क्यों खराब कर रही हो कभी कुछ,Why are you ever doing something wrong?
लगाती ह हों कभी कुछ,Let her tell you something at times.
क्यों तुम्हें क्या है मेरी मर्जी जो चाहे,Why do you want to die?
लगाऊ मेरे बाल,How did I come to have a good relationship with Jehovah?
है ठीक है बाबा जो दिल चाहता है करो,"All right, let's have a heart that wants it."
तुम्हें तो साथ खून,The blood with you.
माफ,Sorry
क्यों क्यों माफ है इसलिए कि आप मुझे पसंद,Why is forgiveness because you like me
करते,Do
हैं क्या देख रहे हैं,What Are You Looking at?
ऐसे देख रहा,Looking like
हूं कितनी आसानी से कह दिया,It's so easy to say
तुम तुम्हें मेरी फीलिंग की कोई कदर नहीं,You don't appreciate my littleling.
है बड़े खुदगर्ज निकले आप आपकी फीलिंग की,It's big self-pluging you.
कदर नहीं है और आपको है दूसरों की फीलिंग,You don't appreciate and you have others' hairling.
की,of
कदर देखो जवेरिया अगर तुम आयशा की फीलिंग,"Oh, look, baby if you're pregnant."
की बात करही तो उसमें मेरा कोई कसूर नहीं,I have no blame on him for his speech.
है मैंने अम्मी को बता दिया था अम्मी की,I told Norm's
गलती है सुना कुछ और समझा कुछ,Listen to something else to explain.
बहुत ही कम सर्फ,Very low
निकले अपने बारे में क्या ख्याल,What You Think About Yourself
है मैं वह कमिटमेंट करती नहीं हूं एहतेशाम,I'm not sure she doesn't commit.
जिसे मैं पूरा ना कर सकू तो मेरी तरफ से,I can't carry it from my side.
बहुत क्लियर है मुझसे ना कोई उम्मीद मत,Don't expect me to be too late
रखना आप ही नहीं हो मैं जो दूसरों की,You're not the only one I've ever had to keep.
खुशियों के खातिर अपनी खुशियों की,Happy Despite Joy
कुर्बानी दे,Give a Sacrifice
दू,Ding
आयशा बेटा तुमने बहुत अच्छा किया तुम्हारे,You made her son very well.
आने से बहुत ढार हो गई मुझे ना य इतने,It was too late for me to come.
सारे काम मैं अकेले कैसे,All the Work - How I Have Been Alone
करती कितना रह गया ब आंटी बस थोड़ा सा गया,The aunt just went a little bit away
मुकम्मल होने वाला है आ,Come on.
जाओ बेगम साहिबा डिजाइनर मुश बीवी का,Go to queen Sensor Musshar
ड्रेस देकर गया है और दुपट्टे की दो ऑप्शन,And two osteletions of a blanket have been offered.
देकर गया है कहा है जो आपको अच्छा लगे वो,It's given you what it's like to be good.
इस्तेमाल कर लीगा अच्छा क्या वो खुद ही आ,"Well, if he'd come for his own?"
गया वरना मैं उसे कॉल करने वाली थी अच्छा,I went or I was going to call him good
तुम ऐसा करो दो कप चाय और सैंडविच दे जाओ,You do that two cups of tea and sandwich.
भूख लग गई है जब खाना तैयार हो जाए तो बता,Tell him when you're hungry
देना जी,Giving Life
अच्छा कौन सा जाएगा इसके साथ,With whom would the good go.
जी,G
आयशा बेटा जरा बताना इस ड्रेस के साथ ये,"Tell the girl a second, that's with this dress."
कौन सा दुपट्टा ज्यादा अच्छा,Which blankets are much better
लगेगा मैं हां बल्कि इधर आओ खड़ी हो उठो,I'll just get up here.
ना,N
बके लग तो रहा है मुझे एक पहन के अच्छा,So I feel good of wearing a garment
लगेगा माशा,Idle
अल्लाह इसको ओढ कर तो तुम बहुत हसीन लग,"And if Allah please, He would surely make you excellent."
रही हो बगैर मेकअप के भी यह दुपट्टा इतना,It's so covered without makeup
अच्छा लगा है,Well done.
तुम यकीनन अनुष प भी बहुत अच्छा,You're sure I'm very good.
लगेगा लेकिन आंटी वो पूरे ड्रेस की लुक तो,But aunty will look at the whole dress.
मेकअप के साथ ही अच्छी लगती है ना लेकिन,It's not good with makeup but with makeup
तुम ऐसे भी बहुत प्यारी लग रही हो पता है,You know it's like you look so sweet.
तुमहे किसका फोन आ,Which is the phone you call?
गया,Done
हेलो जी,Hello G.
कौन हेलो,Who Hello?
आपकी आवाज नहीं आ रही एक सेकंड एक सेकंड,A second second time your voice is not coming
हेलो जी,Hello G.
प्रशंसा,Praise
जी,G
तुम ये दुपट्टा तो अनुष की इंगेजमेंट का,You're on the back of the Ingement.
है तुम्हें इतना भी नहीं मालूम कि किसी की,No! You do not know.
चीज को टच नहीं करते विदाउट,Don't touch things out
परमिशन इस घर में आती हो अपनी लिमिट्स में,The gravity comes into this house in his Limitts.
रहो हर चीज में इवॉल्व होने की जरूरत नहीं,There's no need to be built up in everything.
है समझी,You got it.
तुम अश्व सर,You Black Sir
लगता है य आपकी पुरानी आदत है तकी किए,It looks like you're in your old habit
बगैर लोगों से बद गुमान होने,Without people having bad ideas
की पहली बात मुझे कोई शौक नहीं आपकी,The first thing I don't like is yours
मंगेतर की चीजों को यूज करने का आपकी,Your goal to manage the content of the object.
अम्मी ने पहनाया था तो मैंने पहना था और,I'm gonna wear it and I'm going to put it on.
अग यकीन नहीं आता ना तो जाक अपनी अम्मी से,August wouldn't believe that Zak is from his mother
पूछ,Ask
लीजिए इन चीजों की वैल्यू आपके लिए,Look at these things for you.
मेरे लिए नहीं और इन मामूली चीजों का भर,Not for me and fill these trivial things
ना किसी और को जाके दिखाएगा मुझे,Don't show me anyone else.
हंसी,[Laughing]
हंसी,[Laughing]
नहीं,No
बेगम साहिबा खाना लगवा दू हां खाना लगवा,The queen of Sheba will provide her food with a good appetite.
दो और फ्रूट राइफल फ्रिज में रखा व याद से,Two and the presidents put in the pump and remember.
रखना आयशा ने नमाज पढ़ ली होगी तो मेरे,She must have read the prayer so I could
पास भेजो,Send To
उसे बहुत प्यारी बच्ची है आ अच्छा,"She's a very sweet girl, good."
हा अच्छा आंटी अब मैं चलती,"Ha, good aunty now I go on."
हूं क्यों बेटा क्यों चलती,Why am I running the son?
हो खाना लग रहा है खाना खाकर,He's eating food
जाना नहीं आंटी मुझे भूख बिल्कुल भी नहीं,"Don't go, aunty, I don't even go hungry"
है और अम्मी भी घर पर इंतजार कर रही होंगी,And she'll be waiting at home too.
मेरा मेरी नायला से अभी फोन पर बात हुई है,I've just been talking on the phone from my flockel.
मैंने उसे बता दिया है कि आयशा खाना खाकर,I told her that she was eating
आएगी तुम परेशान मत,Don't worry.
होना आराम से बैठो खाना लग रहा है खाना,It's easy to sit down and eat.
खाकर जाना है चलो शाबाश,Let's go well.
बैठो,Sit down.
हेलो अस्सलाम वालेकुम लदा आप कैसी हैं आप,"Hello, come on. What are you like?"
आपकी तबीयत कैसी,What your circumstances permit.
है जी ठीक,"Yes, it's okay."
है मैं अभी थोड़ी देर में अश्वत को भेज,I'll send eternal life for a while.
देता हूं व ले जाएगा आपको डॉक्टर के,I give and I'll take you to the doctor.
पास बहुत बहुत शुक्रिया बहुत बहुत,Thank you very much
शुक,Shuck
खालिदा आप का फोन था तीन चार रोज से कह,She was your father's phone three days a day
रही थी कि मुझे डॉक्टर के पास ले चलो मेरे,It was going to take me to the doctor
पास वक्त ही नहीं था,He didn't have time.
अश्वत बेटा खाना खाके लदा आप को जरा,Eat eternal son-in-law and fill you up.
डॉक्टर के पास ले,Taking to the Doctor
