Hindi,English
राइज  ट्रांग से सिंपल बैक से,From Rez's Troang to Simple Back
ट्विंकल और भाई पर दस्त लग रहा है पालिटी,The Twicker and the brother seem to have a safe life
है चलते हैं फटाफट नेक्स्ट की तरफ पहन के,Let's go back and put on the side.
आप मुझे पीछे देख लेना,You take me behind
एक और,Another
बहुत ही बड़ा सा वुड मिल जाएगा फ्रंट में,Very big wood will be found in Front.
कंगारू पॉकेट मिल जाएंगे सच में इस बार,I'm gonna get the stick really this time.
मटेरियल बहुत ज्यादा अच्छी क्वालिटी का लग,Pretination takes a lot of high quality
रहा है,Running
अच्छा खास बड़ा हो जाता है अगर मैं आपको,It gets nice if I get older you
लाइनिंग मिल जाएगी वैसे इसका जो ड्रा,The line will be drawn as it draws.
स्ट्रिंग है ना बड़ा ही कमजोर जैसा लग रहा,String is not like too weak
है ऐसा लग रहा है ना की ओवर लेस की लेस को,It looks like Nassa's Overhees
निकल करना ये वाला लेस बना दिया गया है,It's the only one who's been created.
इसको आप खा भी सकते हो,You can even eat it
फिल्म में इसमें से आपको व्हाइट कलर का,White color for the film.
ओवरलैप की ब्रांडिंग मिल जाएगी लोगों मिल,The branding of Overlap will get people
जाएगा एंड डेट सेड यही इसकी एक सिंपल सी,It's going to be the date from the date it's a Simple C.
डिजाइनिंग बेसिकली ये एक ब्लैक कलर की,Designing Basic It's a black color.
सॉलिड हुई है क्वालिटी बहुत ज्यादा अच्छी,Saledureal Quality Very good
है मैं पहन के कैसा लगा ये सारी चीज आपने,What I felt about putting on is all that you did.
देख ली फटाफट चलते हैं नेक्स्ट प्रोडक्ट,Look at the speeds of Nectract
की तरफ राइट नेक्स्ट प्रोडक्ट हमारे पास,Right to the Right Nectract with us
में एक और बहुत ही खूबसूरत स्वेटशर्ट भाई,Another very beautiful squabbling brother in the United States.
क्याक्या कलर उसे किए इस वर्ष लोग ने सही,Did they make it as it was this year that they were right?
बता रहा हूं इन सारे स्वीट्स को या इस,I'm telling you all these sweets or this
पूरे हॉल को ना मैंने डेढ़ महीने पहले,The whole hall was located about a year and a half ago
प्लान किया था और ये   महीने पहले,planned and this month ago
हमने इन सारी प्रोडक्ट्स को ऑर्डर किया था,We ordered all these procreators.
इतना ज्यादा डिले भाई अमेरिका से भी कपड़े,Wear with more brother than usual from America
मांगा ना तू भी इतना डिले नहीं होता अब या,You don't even have so much division now
तो श्लोक का क्लॉक स्लो हो गया है या,So the clock of the forest is hit or
बन गया है ओवर डिले ये मुझे,It's overrun me
नहीं पता और ये मेरे साथ ही नहीं हुआ,I don't know and it didn't happen to me
बेसिकली बहुत सारे आप में से लोगों को यह,Basic very much people from among you this
प्रॉब्लम,Probum
की बात करें से देखो मटेरियल बहुत अच्छा,It's very good to talk about it.
है नीचे मैं हैंड में कभी राउंड नहीं है,It's down I never round in the Hade
सारी चीज कॉमन है अंदर की फार की क्वालिटी,Everything is common inside normal quality
भी बहुत ज्यादा अच्छी है आपको यहां पर,Very good at you here.
ओवरलैप के ब्रांडिंग तो मिलेगी लेकिन,The branding of Overlap will get but
ब्लैक कलर में इस बारी है इसमें भी ब्लैक,Black Color Has Black Also Black
प्रिंट का कमल है इतनी सुंदरता जो है,The print's cutel is so beautiful
पिछवाड़े में घुसाई जा रही है यहां पर दिख,Inserting into the ass...
रहा है भाई ओवर लेस ऐसा कर लिखा गया है और,As brother Oversaver has written it and
एक पोपल कलर का स्नेक जिसमें फूल निकल रहे,A papal color sleek from which flowers grow
हैं सारे रेस स्नेक ना खाद खाता है इसलिए,All recipes are sctif account for
इसके ना पेट वेट से पीट वीट से ना पूरे,It doesn't have to be beaten with a van.
फुल निकल रहे हैं हालांकि प्रिंट की,Full of prints though
क्वालिटी बहुत ज्यादा अच्छी और अमेजिंग,Quality too much and amezing
लगता है डेफिनेटली क्वालिटी के मामले में,It seems to be in case of normal quality
इन्होंने कोई कंप्रोमाइज नहीं किए पहन के,They're not wearing any conjugables.
मैं कैसा लग रहा हूं ये सारी चीज आप पीछे,How do I feel about this thing behind you?
देख लो एडिटिंग सारी चीज देख लेना ये,Look at the motioning everything.
मैंने लिया एल साइज और मेरी हाइट है  के,I've taken mine and my top is.
आसपास की और आगे हमारे पास में एक और,There's another with us around and ahead
खूबसूरत चमचमाती हुए मिठाई के पैकेट में,In a beautiful sweet sweet packet
जब देखो ये वाला इन्होंने लॉन्च किया था,When they were launching.
ना विंटर वेयर अब श्लोक ने एक्चुअली बोला,Winter Weer now spoke a remarkable word
था की हम इंटरनेशनल बड़ेबड़े ब्रांड को,It was we'd have a big big brand...
ना कर दे अगर ऐसे प्रोडक्ट बनाएंगे जो की,Don't do it if you create a builder
उनकी क्वालिटी के होंगे साथ ही बहुत,Will be their quality as well
ज्यादा कम प्राइस में होंगे सच में कुछ हद,"More likely, there will be some limit in the amount of time you spend with your spouse."
तक वैसा हुआ है लेकिन भाई जो प्रॉब्लम्स,That's so far but Brother Prombs
आई है ना कस्टमर को नेक्स्ट तू नेक्स्ट,I have come
लेवल वाली है एक और प्रॉब्लम है वो मैं,"There's another noise that's going to be, it's me."
आपको आगे बताता हूं वैसे इस अगर हुदी की,I'll tell you more about this if she's pregnant.
बात करें पूरा फार से बनाया गया हूडी है,A whole thing has been created of him to talk.
इसमें आपको थोड़ा सा ऑफ व्हाइट अंदर में,In it you a little bit of the White White.
ब्लैक ब्लैक ऐसा करके देखने को मिलेगा,The Black Black Will See It
आपको कंगारू पॉकेट मिल अगर नीचे हम जैसा,If you get Chungsanget down like we're gonna get down.
सब कुछ देखो कैसा नॉर्मल हूड ही होता है,Look at everything how normal it is.
वैसा है यहां पर अगर इसके लेफ्ट चीज पे,That's it right here if its takeover is right.
देखोगे ना तो एक मेटल प्लेट आपको देखने को,You can't see a metal plate.
मिलेगा जिसमें ओवर लेस की ब्रांडिंग की गई,Get found in which the branding of Overlays over
है लेकिन अगर इसके अपार फैब्रिक की बात कर,But if you speak of its vast pridey
रही है या बेसिकली इसके फर्क ही बात करिए,Speak the difference between what you're saying or what you're trying to do.
ना ओह माय गोद सच में बहुत ज्यादा सॉफ्ट,"Oh, yes, my mama is really very soft"
स्मूथ और इतना कोशिश जैसा फुल करवाता ना,Sooth and Try as You Can Do
जाओ अब इसे पकड़ोगे पहन के मैं कैसा लगा,Go you'll catch it now how did I feel?
ये सारी चीजे आप पीछे देख लो फटाफट चलते,All these things lets you see behind us.
हैं नेक्स्ट की तरह और गैस नेक्स्ट ए गया,Like Necks and gas necessit A.
हमारे पास टोटल एक और बहुत ही खूबसूरत,We had another very beautiful toll
स्वीट्स हैं जो की आता है बवंडर कलर में,There are sweets that come in the bubble color.
यानी लैवेंडर कलर में अगर इस वेबसाइट की,The shape of Lavender in color if this website is
भी बात करें पूरा से फैब्रिक से क्वालिटी,"Even if you speak full - time, quality from normal selection"
सब कुछ से है लेक्चरर्स पे आपको वही ओवर,Everything is up to you than that.
लेस की ब्रांडिंग मिल जाएगी जो की रबर,The branding rubber of Les will be found
कोचिंग की जरूरत की गई है अंदर में वही से,Cosing has been needed from the same.
फर्क की क्वालिटी सब कुछ बहुत ज्यादा,The Quality of Contrast Everything Too Much
अच्छी है और बैक बैक में कुछ नहीं मिलता,All right and nothing in back is found in the back
एक सॉलिड लैवेंडर कलर का स्वेटशर्ट है,There's a Solomonant of Lavender Color
सीधी बात कहूं अगर ये ओवर डिलेज ब्रांड,The straight thing to say if it's overrides brands
एंड इंडिया को कवर कर रहे ना उनको ये सारे,All of this is covering India and India.
प्रॉब्लम्स के लिए पहले से रेडी रहना है,Probs must be red for Probs
ऐसा नहीं की विंटर ए रहा है विंटर जा रहा,Winter is not going to be ain't going to Winter
है भाई हमने सोच के रखा था तो निकल दो,"(We told him): ""Get out of the town, for we had planned."
निकल दो निकल दो इससे बाद में उनकी तो,"Leave them, then, to them."
कमाई होनी है क्योंकि सारे ऑर्डर्स तो हो,Because all orders are to be earned
गए हैं जिन्होंने प्रीपेड किया मैंने भी,Have gone who pre-embedd I too
प्रीपेड किया था कम्युनिटी पोस्ट में,Predefined in Lowity Post
मैंने लिख दिया की मैंने प्रीपेड नहीं,I wrote I didn't prepend
किया लेकिन एक्चुअली मेरे को बाद में पता,I did but know later to me
चलेगी मैंने प्रीपेड किया हुआ है तो भाई,I've been prepend so brother
सारे पैसे डेढ़ महीने तक फंसे रहे हैं,All the money is spent for a half and a half months.
हमें कोई प्रोडक्ट नहीं मिला और अभी क्या,We couldn't find any formulas and now what?
हुआ है वो मैं आपको बाद में बताता हूं,That's what I'll tell you later.
वैसे ही स्वीटहार्ट को आपने मुझे पहने हुए,"Well, you're wearing me"
देख लिया फटाफट चलते हैं नेक्स्ट की तरफ,Looking towards the Necks
आगे की बात आगे करते हैं नेक्स्ट हमने,We're on the move. We're on the move..
मंगा आया है एक रॉक फैन जब हमने ये होल की,I've come for a rock hole when we've made this hole.
स्टार्टिंग की थी ना तब हमने टोटल,"It wasn't starting, so we got to Tote."
प्रोडक्ट्स ऑर्डर किए द एंड तक डेढ़ महीने,Prodictors ordered the U.S. and a half months
बाद तक हुआ ये रिजल्ट ये नहीं खेला की,It didn't play until later
टोटल सात ही प्रोडक्ट है एक का उन्होंने,He's seven proctrators
रिफंड दे दिया भाई साहब वैसे अगर इस,"Wed handed him a brother, Mr. Well if this is"
वीडियो को पंत की बात करें से जैसा हूडी,Talk to Video as Muddy
का कपड़ा होता है ना वही कपड़े को लेकर,"It's a garment, and it's not a garment."
यहां पर पॉइंट सी दिया गया है जो की एकदम,"It's given to point C, exactly what is happening here."
मस्त मस्त मुलायम सिंह यादव लग रहा है,It seems to be a lovely lion.
अंदर से भी और बाहर से भी लेफ्ट साइड पे,"Even from inside and out of the floor, Leigh side"
आपको  की ब्रांडिंग मिल जाएगी जो,That'll get the branding of you.
की व्हाइट कलर में है पॉकेट की डेप्थ ठीक,The white color is in the drawout's drawright.
है मतलब अच्छी है ना बहुत ज्यादा दीप है,"I mean it's good, it's too heavy."
ना बहुत ज्यादा छोटी है इसमें भी वही,He's too small
सड़ीसी आपको ड्रॉ स्ट्रिंग मिलती है,ChickC gets you a dang string
जिसको अच्छा किया जा सकता था इसकी,That which could have been made righteous.
क्वालिटी बहुत अच्छी अंदर में फर्क से है,Quality is far different from what is in the heart.
जैसा हूडीज में होता है एंड डेफिनेटली एक,As in Hudez and Definatele One.
अच्छा पेंट है जाना चाहे जहां तो नहीं,Good painting to go where it is not
सकते क्योंकि आप चाहते भी नहीं जा सकते,Because you cannot go anywhere
क्योंकि ये हो गया खत्म जिस वक्त ये,Because when it's over
वीडियो बनाने मैंने सोचा थी अगर उसे वक्त,I thought to make video if she had time
रहा था तो मैं भी बन जाता लेकिन अब तो,I'd also become but now
नहीं बन सकता ना मेरे भाई अब तो हमारे आना,I can't be my brother anymore
भाई ठंड भी खत्म हो गई अब यहां पर गर्मी,The brother even ended in cold now heat in here
स्टार्ट हो गया अब तो जबरदस्ती बस है सब,There's just a force that's starting now.
विंटर सब तरफ चल रहा है फैन पहन के ये,Winter is going all the way this is wearing the ground.
वीडियो बना रहा है,Creating Video
पास में फटाफट से भी निकलती हैं एक और,One Another Comes Near
बहुत ही खूबसूरत स्वेटशर्ट है ऐसा हो गया,It's a beautiful garden. It's like it.
ना जैसा लग रहा है की बर्थडे पार हो गया,Not as he looks he passed the chariot.
सैलरी फिर उसके बाद ए रही है तो फिर फायदा,Salirie is again benefiting from what she has been learning
क्या है इस बार का जो स्वेटशर्ट है वो,What's this bar's shitty?
स्काई ब्लू कलर का है ये मिल जाएंगे,Blue is blue color. It's going to be found.
राउंडिंग मिल जाएगा टाइम मिल जाएगा,Rounding will get time.
प्राइसिंग यहां पे लिखिए  आपको पे,"Ping up here, write it to you"
नहीं करना है वहीं अगर इसके पीछे देखोगे,Don't do it if you're looking behind it.
तो बहुत ज्यादा अच्छी एक प्रिंट की गई है,So too good a print has been printed
और लिखा हुआ भाई ओवरलेज क्लॉथिंग एयर डरे,And the brother overriding air frightened.
डरे डरे डरे यू ड्रीम हर एक बड़ा सा रे,Fearful of the destruction of the earth's inhabitants.
भाई तो शेर नहीं है तो नेवला लग रहा है,"The brother is not a lion, so he sees."
ऐसा लगता है ना की शेर और सांप और नेवले,It seems to be the tiger and the snake and the foundation
को से मिलाकर एक बावला क्रिएट कर दिया गया,A madness was created in pairs
है साइड में हाल करके फ्लावर्स मिल जाएंगे,It's just going to be more intense on the side.
हल्काहल्का यह भी प्रिंट  है एंड,Light focus it's also print and
अच्छी क्वालिटी का देखो इमेज जितनी सारी,View a good quality as an image
बकवास करता हूं ना मेरे सबटाइटल राइटर,I'm fucking not my subtitle writer.
पूरा परसा अभी इसको क्या बोले उसको क्या,What did he say to him at the moment?
बोले हिंदी में तो हम लोग एकदम धड़क देते,We would have destroyed the people of the city for their words.
जैसा कुछ भी उनको भाई इंग्लिश में,As their brother used to speak English
कन्वर्ट करने में उनका अलग पोस्ट होता है,There is a different post for the Mover
इस वेबसाइट को भी पहन के मैं कैसा लगा ये,How I felt about wearing this website too
सारी चीज आप पीछे देख लो फटाफट चलते हैं,Everything you see behind is moving backward
नेक्स्ट एंड डी लास्ट प्रोडक्ट की तरह जब,Like Necks and Dest Proctin
ये हॉल हमने बनानी है सोची थी ना बेसिकली,The hall we planned to build was neither original nor root.
एक सीरीज चलता है चैनल पे जहां पर,A cervis goes on to channel on where
युटयुबर्स के मिर्च को रिव्यू करते हैं,Let's review the chits of the Utor's chilis.
उसी का ये एक पार्ट था हालांकि इतना,"He had a part of it, however much"
ज्यादा डिसएप्वाइंटमेंट हुआ ना सारे लोग,More delegates not all people
बोल रहे द की मेरा भी यह फंसा हुआ मेरा भी,The one saying that even mine is trapped with me.
वो फसा हुआ है हमने तो पेट कर दिया अब तक,That's why we ate it up until now.
नहीं आया किसी का एक महीने बाद आया की बात,No one came after a month
करें से बवंडर कलर के साथ ये उड़ी आता है,It flies with a bubble color
यानी लैवेंडर कलर नीचे आपको ही मिल जाएगा,That is Lavender's color down you'll only get
हैंड में मिल जाएगी कंगारू पॉकेट बड़ा सा,He'll get in the hole with a big pick.
हूड चालसा  अंदर में लाइनिंग,Moved in in. Lineing in.
लेक्चरर्स पे आपको वो लेस की ब्रांडिंग,Pesers give you the branding brand of Less.
मिल जाएगी क्वालिटी बहुत अच्छी है फैब्रिक,Can't you find the quality that's pretty good?
की अंदर में फर्क की क्वालिटी देखो बहुत,Look at the quality of the difference inside
अच्छी है इसमें भी आपके बहुत खूबसूरत सा,"Well done, too beautiful for you"
बैक प्रिंट मिलता है,Get back print
ऐसा करके लिखा हुआ मिल जाएगा ऐसे एक हाथ,It's going to be written one such hand.
मिलता है जो की ऐसे फूल पकड़ा वो ऐसा लगता,The flower that caught such flowers seems to it.
है ना की कांग्रेस का हाथ है और पकड़ा,Has not the hand of the Congress (of Israel) been laid hold of and seized?
बीजेपी का कमल मुलायम सिंह लालू यादव,Vegetable white lion memoryr of the boepP
कांग्रेस बीजेपी सब हो गए इसमें नीचे आपको,The Congress slips all down to you
बहुत सारी टेक्स्ट प्रिंट मिल जाएगी नीचे,Too many text prints will be found below
मैं आपको एक बार कोड मिल जाएगा उसके नीचे,I'll find you code once under her
लिखा हुआ ऑल क्लॉथिंग अरे वीडियो लाइक,It's written all nightlighting a video sweep!
सब्सक्राइब कर लीजिएगा सारे सोशल मीडिया,Subscribe to all the social media
के लिंक मिल जाएंगे आपको डिस्क्रिप्शन में,KLink will be found on disk to you
अभी के लिए बाय जय हिंद देश,BY AWAKE! CORRESPONDENT IN BRADOR
