Hindi,English
यह कौन सी राजसी चीज़ है लेकिन यह सुंदर है।,"Which royal thing it is, but it's beautiful."
जैसे की हम देख ही सकते हैं,Like We Can See
ये घर इतने महँगे होते जा रहे हैं,These homes are getting so expensive
की समझ नही आ रहा इनके बारे में कैसे बताऊ।,I can't understand how to tell them.
सच में मेरे पास शब्द नहीं हैं।,I don't really have words.
मैंने अब तक देखि हुयी ये,I looked at him so far.
आपसे मिलकर अच्छा लगा।,Nice to meet you.
मार्क डलास मावेरिक्स बास्केटबॉल,Mark Dalla Mavex Basetball
होगया,Beren't it.
उसे कार्ल से छीन लो।,Take him from Carl.
बास्केट करो।,Basque.
नहीं जाएगा।,I won't.
पैतालीस मिलयन डॉलर्स देने चाहिए या नहीं,Whether or not to give 100 dollars
अगर आप सोच रहे हो,If you're thinking
लकड़ी की बात कर रहे हैं।,The wood is talking.
मुझे भी वो लकड़ी ही लगी,"She took me to it, too."
मजे की बात हैं यहाँ,It's fun here.
होनी ही चाहिए एक हीटेड सिट।,The only thing that must be the same.
बस यही,That's it.
सोचो तुम इस पर बैठते हो और ये,Think you sit on this and he
में वक्त बिताना बहोत पसंद आएगा,Time spent will prefer
लेकिन हमारा यहाँ का वक्त खतम हो चूका हैं,But we've missed our time here.
और इसलिए मैं आप लोगों,And that's why I got you guys
तुम्हारा एड्रेस क्या हैं,What are your IDs?
इस अजीब से दिखने वाले,This weird looker
क्या लगता हैं इसकी क्या कीमत होगी,What Is the Cost of It
मैं कहूँगा एक लाख डॉलर्स,I'll tell you a million dollars.
क्या कहती हो मिरांडा,"What do you say, Mirarararaa"
हमने उन्हें तिस बार वादा किया था,We promised them time
की हम कुछ भी नही छुएंगे,No one's gonna touch us.
चलो चलते हैं,Let's go
कोई कुछ भी नही छुएगा आखिर ये हैं क्या,No one's gonna touch anything.
यह पूरी तरह से एनालॉग कस्टम,This completely bad custom
स्काई ब्रिजेस से हो के जाना पड़ता हैं,Sky Bridges Must Go Out
क्यों की इस घर को एक असली,Why This House's Original
वो उस सामने वाले,He's gonna stand in front of her.
घर में किसी से चुपके से प्यार करता होगा,Will love someone in the house secretly
वह उसकी पूर्व प्रेमिका है।,She's her former girlfriend.
यह रोमियो और जूलियट है।,It's Romeo and Juliet.
और फिर आखरी के दो रूम्स देखने के बाद,And then after seeing the last two roommates.
बाहर मैंने हमारे लिए एक सरप्राइज रखा था।,Out I kept an underlying for us.
वहाँ ऊपर देखो।,Look up there.
क्या,What
डीज नट्स,DS Nats
तुम्हे समझ आया उसे,You understand her.
चॉकलेट्स हैं जिन्हें वो खरीद सकते हैं।,There are chocolates they can buy.
हर्शीज और अन्य बूमर,Harshajis and other Boomer
या मुझे कहना चाहिए,Or let me say
पुरे एक सौऔर उनतालीस,One hundred forty-one.
और ये हाउस टूर और ख़ास बनाने के लिए,And this house-to-live and a special site..
हमने जस्टिन टिम्बरलेकको बुलाया हैं,We've called Justin Tiberkco.
क्या हाल हैं दोस्तों,How Are Friends
और यह जस्टिन का घर है,And this is the home of Justin.
असल में ये घर कितना बड़ा हैं।,They're really such a big house.
इसमें  बेडरूम्स हैं और  बाथरूम्स हैं,It has bedrooms and bathrooms
हम इनकी राय लेंगे की,We'll take their opinion
सौ मीलियन डॉलर्स देने चाहिए या नहीं।,Whether or not we should give a hundred miles of dollars.
ये चाहे तो खुद भी इसे खरीद सकते हैं।,He could even buy it himself.
वो भी कॅश में मेरे दोस्त।,That's my friend in California too.
इस घर में जो भी हैं वो इस दुनिया के,Everyone in this house belongs to this world
मैं इससे खेल रहा था,I was playing with it
इस घर में सिर्फ  मिलियन डॉलर के,Only $ million in this house
हम यहाँ बंद हो चुके हैं,We're locked here
क्योंकि उसमें हैंडल नहीं है।,Because it doesn't handle.
अरे नहीं। सब ठीक हैं।,It's all right.
पर वैसा होता तो मजा आता,It's like fun.
जरा इनका चेहरा देखो।,Take a look at him.
क्या वो एक असली डायनासोर हैं,Is she a real dancer?
अब इस घर में एक डायनासोर भी हैं,The house now has a dancer
मैं बस बैठा हुवा हूँ।,I'm just sitting down.
तुम सच में घर में जच रहे हो।,You're really wandering in the house.
धन्यवाद।,Thank you.
मैन वही कहने वाला था,Man was about to say that
की हमें कौनसी कार चलानी हैं,Let's have a car...
और ये उसे तुरंत दो फ्लोर्स ऊपर,And immediately they beat him up two fluores.
यहाँ इसे देखो वो मसाज बटन दबाना,Look at this hench button pulling off
ओह हाँ अभी लो,"Oh yeah, just take it."
हे मुझे ये नही चाहिए,"Hey, I don't want this"
भाई मेरा बटन कहाँ है,Where's my brother's button
हाँ सही कहा।,That's right.
हाँ ये बहोत सस्पेंस भरा लग रहा हैं।,They look full.
मतलब,Meaning
ये कुछ ज्यादा ही होगया।,They got a lot.
का क्या खुबसूरत नजारा हैं,What a beautiful sight it is!
सोचो अगर स्क्रीनसेवर  होता,Think if the screen would have been screenflower
शायद वो ही हैं।,It's probably him.
वो ही हैं,He is.
और वहाँ एलए शहर है,And there's Ela City
संदर्भ के लिए कार्ल,Karl for context
मिलियन डॉलर नकद हैं।,There are millions of dollars cash.
सही कहा।,That's right.
क्या तुम ये घर खरीदोगे,Will you buy this house?
नोलन की शर्ट भी मिलेगी।,Noon's shirt will be found.
पर क्यों,But why?
उम्मीद हैं आपको मजा आया होगा,You must have enjoyed it.
जल्द ही मिलते हैं।,See you soon.
