Hindi,English
सिम कार्ड स्लॉट है मतलब आप एक्सपेंड भी,The type of card slot means you also feel
कर पाओगे या तो एक सिम कार्ड एसडी कार्ड,You can either provide a Simdy Card
दो सिम कार्ड्स आप इस्तेमाल कर पाओगे,Two Sim cards you can use
पोर्ट्स एंड बटंस के बारे में बात करूं,Please talk about ports and dealts.
दोस्तों नीचे की तरफ स्पीकर ग्रिल यब टाइप,"Friends below, speaker Grillab Type"
सी माइक्रोफोन सिम कार्ड ट्रे लेफ्ट हैंड,Chap Sim card trails
साइड में कुछ नहीं है नॉज कैंसलिंग,There's nothing in the side
माइक्रोफोन ऊपर की तरफ आता है एंड देन यू,The trunk looks toward the top and is given U.S.A.
हैव राइट हैंड साइड पे वॉल्यूम रॉकर एंड,There's the right hand side side side side side volume rocker and
पावर ऑन ऑफ बटन है  एए जैक इज नॉट देयर,Power is on the button AE Jack Right Not Constraint
चालू करते हैं फोन डिस्प्ले के बारे में,Launch on about phone display
बात करूं दोस्तों  इंच का एएचडी प्लस,AHD plus in friends.
एमोलेड डिस्प्ले आता है  हर्टज फास्ट,The used display comes version fast
रिफ्रेश रेट है  बिट डिस्प्ले है,Refresh is a bit display
निट्स पीक ब्राइटनेस है अगर अगर मैं,Nits Pake Brabys if I do
बेजल्स के बारे में बात करूं तो साइड के,"I'm talking about dropouts, so the side side isn't there."
बेजल्स और ऊपर के बेजल जो है पतले हैं,Beewaters and above-heels are thin
चिन्न मैं कहूंगा एवरेज स्लाइटली बिगर,Chicken I'll say Everage Spley Biger
कहूंगा फिर भी  पर के ऊपर स्क्रीन टू,"He will say, but the screen to go over"
बॉडी रेशो है सो मॉडर्न डिस्प्ले,The body ratio is solon display
डेफिनेटली कहूंगा वैसे एक बात अच्छी है,That's kind of a good thing.
पंचोल आ गया है पहले वाटर ड्रॉप नॉच थी,The punchol has come first the water drop was
में नाउ दे हैव रिमूव्ड दैट सो दैट इज गुड,In Noau veved So Good Well
वैसे क्विकली आगे बढ़ने से पहले कलर्स,Quick move ahead before tomorrows
दिखा दूं दोस्तों ये जो है ये ग्रीन है और,Show friends it's green and it's green.
ये थोड़ा ब्लैक दिखता है बट दिस इज ब्लू,It looks a little black-hop-of-Gilo.
आप कौन सा प्रेफर करते हो यू आर टुवर्ड्स,U.S. RO.I. what do you recommend?
मोर सटल या फिर ज्यादा फ्लैश काइंड कौन सा,Which of the more flashlights?
अच्छा लगता है नीचे कमेंट्स में अभी,I like comments down at comments right now
बताइएगा दोस्तों प्लीज डू दैट स्पेक्स के,Tell Your Friends Please read the selected text from the address shown on page 5 of this issue.
बारे में बात करते हैं मैंने आपसे कहा कि,I told you about it
ये जो फोन है दोस्तों इट इज वन ऑफ द मोस्ट,"It's the phone, guys, it's Israeli of the Most"
पावरफुल फोन क्यों क्योंकि इसमें डायमंड,Why is powerul call because it has a Diagnode
सिटी  प्रोसेसर आता है जिसका अंतत,The City Processor comes to the end of which
स्कोर  लाख के ऊपर है जनरली मोस्ट,Score is over million General Mot
पावरफुल फोन अगेन    इस प्राइस,Powerula Phone Abran this light
रेंज में देखोगे तो  लाख  लाख इतना,"If you look at the range, a million million"
अंतू स्कोर आता है इसका जो है दोस्तों,"That's the last score that comes out, guys."
से  लाख के बीच में आता है गेमिंग के,From which one million belongs to the game
बारे में भी  एफपीएस गेमिंग कर पाओगे आई,I'm also able to play FPS games.
एम सरप्राइज  नहीं है बट  आप,Mizer is not a gavi you
गेमिंग कर पाओगे इवन जें चिंग इंपैक्ट,You'll find playing anin'tin' an Infractival Insecration
हमने खेला दोस्तों  टू   पीएस वगैरह,We played friends his ess and
गेम प्ले मिलता है एंड इट इज क्वाइट,Game is played and it's x Quit
प्लेबल अच्छा लगा मुझे सो या गेमिंग के,It's good for me to sleep or play a game
मामले में भी अच्छा है और गेमिंग के बारे,It's also good in the case and about playing games
में बात कर रहा हूं तो दोतीन चीजें मैं,So two things I'm talking in.
कहना चाहूंगा  वाइब्रेशन है मतलब जो,To say the devil means to say what he has to say
आपको हैप्टिक फीडबैक मिलता है सही में,You get the optic Feedback in correct
अच्छा है तो गेमिंग के समय जो फील आता है,"Well, that's good when playing the game which comes in."
दैट इज क्वाइट गुड इसमें हमने सीपीयू,Good luck we bought the CPU in it
थ्रोटल टेस्ट भी रन किया दोस्तों एंड,"Heat test also ran, guys and friends."
बिल्कुल थ्रोटल नहीं होता है मतलब  मिनट,"It doesn't mean shit, minutes"
तक हमने टेस्ट किया एंड इट डिड नॉट थ्रोटल,We tested and it turned out to be non-translature
एट ऑल व्हिच इज एक्सलेंट मतलब,The word at the end of the second century B.C.E. means at the end of the second century C.E.
कंसिस्टेंटली आपको परफॉर्मेंस इसका मिलता,Consistently you got the platform.
है और हां   हर्ट्ज इंस्टेंट टच,"And yes, Hertz Inuvik Touch"
सैंपलिंग रेट है ये गेमिंग के समय आपको,The Sampling is at the time of playing these games.
उसका फायदा होता है जब आप गेम्स वगैरह खेल,It benefits when you play games and games.
रहे हो इंस्टेंट रिस्पांस वगैरह जो फीडबैक,"As soon as you're in an instant, and that which feeds the back-back."
मिलता है या फिर आप जब गन प्रेस करते हो,Let's get or you get when you press the gun.
तो गोली इमीडिएट जाती है यू नो इट जस्ट,So the bullet is buried
हेल्प्स देर एंड मोशन कंट्रोल भी है खेलते,Heather slow and running control is also playing.
समय सो दैट इज आल्सो देयर सो ओवरऑल गेमिंग,Time so named Aleso de Souly
एंड परफॉर्मेंस के लिए दिस इज अ गुड फोन,U.S. Good Phone for Andensans · Global Voices
हालांकि एलपीडी  रम टाइप है,However LPD is typed
स्टोरेज टाइप है और जैसे मैंने कहा दो,The store is type and two as I said.
अलगअलग वेरिएंट्स आते हैं   एंड ऊपर,Different Variations come and up.
वाला वेरिएंट जो है  है  म एप की,That's the nator that's melope.
बैटरी एंड  वाट चार्जिंग आती है एक चीज,One thing that comes with battery and vtloading
अच्छी है मल्टीमीडिया के लिए फोन बहुत,Good call for multimedia
अच्छा हो गया पहले वो वाटर ड्रॉप नॉच था,Well done before he was drop the water.
उसकी वजह से यू ो थोड़ा इतना इमर्सिव,"As a result of her actions, Yuo's a little Sobsive"
डिस्प्ले नहीं लगता था अब पंचोल सेंटर,The display didn't sound anymore
पंचोल आ गया तो जब आप देखते हो यू नो इट,"When you look at it, it's No. It's all right."
फील्स गुड एंड स्टीरियो स्पीकर्स भी हैं,Fals are good and stereo speakers.
सो मल्टीमीडिया एक्सपीरियंस आपका अच्छा है,So Multimedia Explicity is yours.
सेंसर्स के बारे में बात करूं सभी सेंसर्स,All sensors talking about sensors
आते हैं इन डिस्प्ले फिंगरप्रिंट सेंसर है,The display fingerprint is sensor
फेस अनलॉक है दे वर्क वेल कनेक्टिविटी,The Face is unlocking the work connectivity
फोन है आठ बैंड्स है जो भी इंडिया में,There's a phone that's eight bandes in India.
बैंड्स है सब सपोर्टेड है नो प्रॉब्लम्स,The band is all supported
देयर   का सपोर्ट आता है ब्लूटूथ,Deir's support comes blue
है एएसी आयर ब्लास्टर नहीं ऑलराइट ओ,ASY OTERBERTER NOT O All Right!
के बारे में बात करते हैं इधर ये देखिए फन,Let's talk about this side of the hood.
टच ओ  आता है व्हिच इज बेस्ड ऑन ए,Touch O'Chale Expend on A
दैट इज गुड दो साल के मेजर अपडेट्स,Good good good night's Major Updates
प्रॉमिस किए हुए हैं सो दैट इज गुड आपको,"So Good Good night, you're Procrastinating."
और  मिलने वाला है  साल के,And gonna meet the year.
सिक्योरिटी अपडेट्स भी है एक चीज है,There is one thing to store security updates
दोस्तों जो हमने नोटिस की और जो हमने बात,[The people of] whom We have given notice and what We have spoken.
भी की आइक के लोगों के साथ कि भाई ये हॉट,Also with the people of Ik that brother this hot
गेम्स हॉट एप्स थर्ड पार्टी सॉफ्टवेयर,Game Windows Aps Third Party Software
क्यों दे रहे हो तो उन्होंने कहा कि भाई,"They said, "" Brother, why are you giving it up?"""
देखिए हमें एग्रेसिवली प्राइस करना था इसे,See if we had to borrow it.
उसकी वजह से हमें ये डालना पड़ता है हां,That's why we need to put it on.
थर्ड पार्टी एप्स आप अन इंस्टॉल कर पाओगे,The Third Party Aps You'll find it in an Instruments
ऐसे नहीं कह रहा हूं कि आई एम टेकिंग द,I'm not saying I'm an M-Titing The
साइड बट व्हाई दे आर पुटिंग इट क्योंकि,Give the side-side-up Ringing because it's because
प्राइस जो है वो अग्रेसिव करनी है इसलिए,That's why it's the one who's taking the lead.
बट हां ह गेम्स हॉट एप्स है इसके अंदर,No. There's a pint of a game in there's a hot embrace.
वैसे मुझे यह सवाल आपसे पूछना है क्या,Well let me ask you what this question is.
आप एक्स्ट्रा दोगे टू रिमूव दोज,You're going to have a break in to PVOVOVOD
थर्ड पार्टी एप्स हॉट गेम्स वगैरह अगर,If third party aps hot games
नहीं चाहिए क्लीन यूआई एक्सपीरियंस चाहिए,Shouldn't be a positive UI Expensive
बट अगर  ज से ज्यादा होगा व्हाट डू यू,What's going to happen if the pins are over the edge of the dot dot.
थिंक व्हाट इज बेटर टेल मी कमेंट्स में आई,Asink What entry into Tel Aviv comments
रियली वांट टू नो दैट फीडबैक उस हिसाब से,Real Wat to No Dice Feedback with that count
जब अनबॉक्सिंग करेंगे तो उसके बारे में,About When Unboxing
बात करेंगे हम आपको क्या लगता है और ओ के,We'll talk about what you think and O'am
फीचर्स के बारे में बात करूं तो डायलर,The dialer to talk about features
उनका आता है जहां पे कॉल रिकॉर्डिंग वगैरह,They come where the phone recordings are kept
आप कर पाओगे देन स्मार्ट साइड बार वगैरह,You'll find the smart side bar.
आता है जहां पे मोस्ट फ्रीक्वेंसी,Comes where the Pat Freequaque is
या फिर कोई ऐप जो कंटीन्यूअसली आप,Or some real puzzle you have....
इस्तेमाल करते हो उधर पिन करना है वो सब,"If you use it there, all those are going to have a pin."
चीजें आप कर पाओगे सो दैट इज देयर पप,Things you'll so do
रिटेनर फीचर आता है जहां पे बैकग्राउंड,Reducer features come where the box background should be displayed
में अगर आपको कोई स्पेसिफिक एप्स रखने हैं,in if you keep a spaceife
वो आप कर पाओगे चलिए कैमरा के बारे में,He'll make you do it about the camera
बात करते हैं यू नो मिक्स फीलिंग लेकिन,U.S. Ninomi fing but
मुझे एक चीज अच्छी लगी कि प्राइमरी सेंसर,I like one thing that gravity isn't good at all.
जो है,"Who is it,"
सेंसर दिया हुआ है  मेगापिक्सल,The sensor has been given Mega Pixel
का सो दैट इज गुड और ओ को भी सपोर्ट करता,"So Good night and O, support"
है लेकिन अल्ट्रा वाइड नहीं है अल्ट्रा,"It's not visible, but it's not visible."
वाइड होना चाहिए था ये दूसरा जो है वो दो,This is the second one that must have been drawn.
मेगापिक्सल का बोके है प्राइमरी सेंसर के,Bologne sensor of Mega pixels
फोटोज अच्छे हैं ओरिजिनल क्वालिटी में,"Photoages are good, in Orritical quality."
बहुत सारे निकाले हुए हैं गो चेक इट आउट,Too many outcasts are gone. Check it out.
मैं हमेशा कहता हूं दोस्तों जो भी फोटोज,"I always say no, mate, no photos."
हमने निकाले हुए हैं वो जी ड्राइव पे हम,We're fired. They drive the GG. We're.
सेव करते हैं आपके लिए अलगअलग कंडीशंस,Let's get rid of each other in a different way.
में निकाले हुए हैं जरूर जाके देखिएगा आगे,You must try again
मेगापिक्सल के सेल्फी के बारे में बात,Talk of Megaberg's Serf
करूं तो डिसेंट जो स्किन टोंस वगैरह हैं,"If I were to do so, I would be squeaking to the eye."
अच्छे आते हैं रेयर से भी नॉर्मल कंडीशन,"They also come from Reyer, general condency."
में जब आप शूट करते हो यू आर गोइंग टू,"In the end, when you shoot, you'll go to the left."
लाइक द फोटोज वीडियोग्राफी में भी  आप,You're also in Lak de photographic videography
शूट कर पाओगे अगेन   प्राइस रेंज,You'll be able to shoot Augen Space Range
का फोन है एंड  दे रहा है आई थिंक व्हिच,is the phone and giving Idin vorch
इज गुड विथ ओ सो नॉट बैड एट ऑल और अगर प,Good morning O So Nott Bet at All and if you go up.
फीचर्स के बारे में बात करूं तो,If I talk about features
पोर्ट्रेट आप निकाल पाओगे इट इज ऑलवेज,Portretta You'll find it all right.
बेटर  से ज्यादा  या  पोर्ट्रेट जब,More than & Porttrate when
आप निकालो तो वर्प नहीं होता है चेहरा,You don't shed your face if it doesn't shine.
वगैरह कभीकभी ऐसे ज्यादा बराबर,And sometimes more.
प्रोपोर्शंस नहीं दिखते हैं तो उसका फायदा,"If you don't look for a procreative, it's worth it."
होता है देन  मेगापिक्सल का नेटिव जो,"The deformative of Mega pixels, which is a gift"
मोड होता है कि  मेगापिक्सल में मुझे,Mode would have me in Mega Pixel
पूरा बड़ा फोटो चाहिए डिटेल चाहिए तो आप,If you want a full big picture
निकाल पाओगे नाइट मोड है स्लो मोशन,You will find the night mode to build ice cream
स्नैपशॉट ड्यूल व्यू मतलब दोनों भी कैमरा,BouncePlot view means both cameras too
वगैरह आपको इस्तेमाल करने हैं वो है प्रो,There's a program that you want to use.
मोड है वो सब चीजें ऑलराइट बाकी के चीजों,Mode is everything that's all that's all right.
के बारे में बात करते हैं वाइड वाइन  का,I'm talking about yellow wine.
सपोर्टेड,Supported
गोइंग ऑन जरूर देखिएगा तो,Will See the Visit
के बारे में क्या लगता है सिंपल चीज है,What About Simple Things
दोस्तों दिस इज द बेस्ट परफॉर्मिंग मतलब,Friends (s) meaning the Dec Expensing on the Best.
परफॉर्मेंस स्पेसिफिकली मैं बात करूं दिस,Let me speak on case I can speak case.
इज द बेस्ट परफॉर्मिंग इन इट्स प्राइस,Eclipse in Expensing
रेंज फॉर श्यर कैमरा भी ये अल्ट्रा वाइड,Range for range space camera even
नहीं दिया हुआ है जो उन्होंने देना चाहिए,They should not give what they should.
था लेकिन जो प्राइमरी सेंसर का परफॉर्मेंस,But that was the surface of the sensory sensor.
है वो अच्छा है  के वीडियोग्राफी है,He's good videograd.
दिखने को भी मैं कहूंगा इट इज अ प्रिटी,Even I'll say I'll say IEE A PT
गुड लुकिंग डिवाइस वो जो निकाल दिया ना,Good watching device what they got out of it.
ड्रॉप नॉच और अब सेंटर पंचोल आ गया है दैट,Drop Niuch and now the center's in.
इज आल्सो गुड डिस्प्ले भी अच्छा है,Elso is also good morning.
ब्राइटनेस अच्छा है तो ओवरऑल जो मेन मेन,Bourtesiness is good if an old man who is a man
चीजें हैं दोस्तों कि भाई इसका जो,There are friends who have what they have to say.
परफॉर्मेंस है इसका का जो डिस्प्ले है ओ,The platform is of the display of the o'clock.
के भी दो साल के अपडेट्स दिए हुए हैं हां,"There are two years of update, yes."
थर्ड पार्टी एप्स है तो एक दो छोटी चीजें,"If there's a third party Aps, two small things"
छोड़ी तो मैं कहूंगा फॉर द प्राइस यू आर,So I'll say for a year
गेटिंग अ लॉट ऑफ फोन   जी हां इस फोन,Geting A Loot of Phone Yes this phone
के बारे में कोई सवाल है नीचे कमेंट,There's no question about commenting down.
सेक्शन में जरूर पूछेगा और कुछ भी होगा डू,"It's all going to ask, and there's nothing to do with it."
लेट मी नो ये वीडियो अच्छा लगा ना कुछ,"I've got these videos in late afternoon, and I'm going to have a lot of fun with them."
फायदा हुआ ना दोस्तों के साथ शेयर कीजिए,Share It With Friends
चलिए दोस्तों इस वीडियो में इतना ही अगले,Let friends in this video be just the next one
वीडियो तक कीप ट्रैकिंग एंड स्टे,Video-Top Tracking and Stack
सेफ आ,Seqi
