Hindi,English
पहुंचने इंसिडेंट हुआ था इसके बाद दिल्ली,After arriving in Delhi
पुलिस की स्पेशल यूनिट जो नोटिस के लोगों,Special unit of police who notice people.
के लिए ही बनाई गई है उन्होंने एक,It is the only one that has been created
वार्निंग शुक्र यह कहते हुए कि न्यू इयर्स,"W. W. W. W. W. W. Franz, saying that New Year's Day"
पास में आ रहा है लड़कियां पार्टीज में,drawn near to the girls at the party
बाहर न निकलें और अपने नॉर्थईस्ट के,Don't leave and leave your Northest
लोगों से भी पार्टी इन्विटेशन से एक्सेप्ट,Explosive of party interpretations from people too
ना कि यह मॉर्निंग आज के दिन भी आपको इनके,Not that this morning with you today
फेसबुक पेज पर मिल जाएगी और कीजिए,Facebook pages will be found and do
से पैसे की डिमांड करता है और पुलिस,Orders money and police from the police
स्टेशन में जाता हूं तो पुलिस कहती है कि,So the police say that I'm going to the station.
में चलता है किसी दूसरे में फिर इस रास्ते,Then he goes on to another path.
पर यहां पर हमेशा मिले तो,But if I've always met here
सब्सक्राइब करें हैं,Subscribe To
कि तुम सतर्क नहीं रहते हैं,That you don't stay alert
अपनी बॉडी लेकर बाहर घूमोगे तो क्रिमिनल,"If you walk out of your body, Kinminal"
तो कहा कि देगा ना हो तो विचार अपना काम,"He said, ""Do not give me any thought,"
कर रहे हैं,Are
इसका मतलब तो यही हुआ ना कि गुड्डू को,It doesn't mean that to Goodmanu
रोकने के लिए कोई नहीं है देश एक गुंडा,There is no one to stop the country a Govt
राज बन गया है हमें अपनी सेफ्टी बनाए रखने,The Kingdom has become ours to keep us on guard
के लिए खुद के ऊपर इतनी रिस्ट्रिक्शंस,Sousticism for yourself
लगानी पड़ रही है कि हम यह नहीं जा सकते,We're hoping we can't go.
रात में बाहर नहीं निकल सकते या नहीं रह,Can't get out of the night or stay
सकते और फतेह किया दोस्तों मुनावर और,And the mailer and the mailer and the mailer
कुणाल कमरा के साथ जो हुआ है वह ऐसा ही,That's what happened to the Essyll room.
कुछ हुआ मुनावर एक कॉमेडी शो करना चाहते,Something is going to do a comma show.
थे ऑडियंस उसको देखना चाहती थी सोल्ड आउट,He wanted to see her. Sold out.
चौथा वह वैन्यू के ऑर्गेनाइजर्स उसको और,Fourth he's Wynn's Organizationalar to him and to him.
गाइस करवाने के लिए राजी हो गए थे लेकिन,We had a fit to get this. But we've got to do it.
फिर कुछ गुंडों ने आकर धमकियां आधी वैल्यू,Then some goons came half the Valhales.
के जो ऑर्गेनाइज्ड थे वह पुलिस के पास गैस,The united gas near the police
प्रोडक्शन की डिमांड करने के लिए और पुलिस,To command the projection and the police
ने कहा कि हम यहां पर प्रोटेक्शन नहीं दे,He said we don't let the project on here.
सकते हम सेलेक्ट करते हैं यह आप शो को,We can extract this to the show
कैंसिल कर दो सिंपल लॉजिक बना इस चीज का,From where's the Casil tax made two Simple Laws?
पुलिस अपना काम करने में फेल हो गई और,The police failed to do their work and
गुंडा राज चलने लग रहा है यहां पर क्योंकि,Gonna go to the kingdom because it's done here.
उन लोगों की सुनी जा रही है इंट्रेस्टिंग,Those people are being listened intracting
कंपैरीजन यहां पर है कंगना रनोट के साथ,The computer is here with the bracelet.
कंगना रनोट ने कहा था कि यूथ एंड फील कर,Zia Rongt said he wanted to be happy and happy.
रही है तो सरकार ने उन्हें वाइफ प्लस से,So the government took them from Waif plus
क्वालिटी ऑफर कर दी और मुनावर के केस में,Quality Offender and Mailer in the Case
बेसिक बेसिक पुलिस प्रोटेक्शन भी नहीं दी,Basic police unions did not give up
गई पुलिस ने कहा मुनावर है कोंट्रा वाउचर,The police said it was announcer Covet Wauer
फिगर अब कंगना रनोट से ज्यादा,The Futger is now more than the genoutt
कंट्रोवर्शियल कौन है फिर पुलिस ने कहा कि,Then the police said who is controvertable.
हमलावर के ऊपर कुछ कैसे चलने लग रहे इसलिए,That's why some seem to be walking over the attack.
प्रोटेक्शन है यह कर सकते हैं कंगना रनोट,You can do this with bracelets Ringt
के ऊपर कितने खुद के केस चलने लग रहे,How many seem to follow your own case above.
लोकसभा में बैठे  एमपी के खिलाफ,Against MP sitting in the conference
क्रिमिनल चार्जेस चल रहे हैं यह की,President's charge is running out of it.
रिपोर्ट के अनुसार या इसका मतलब यह हुआ कि,According to the report or its meaning
उन्हें अपने सारे पब्लिक फंक्शन और रैलीस,They have all their Public Function and Trillals
कैंसिल करनी पड़ेगी अब हैरानी की बात यह,It's a surprise now.
कि कुछ लोग मुनावर और कुणाल के साथ ऐसा,That's what some people do with the newser and Chesssley.
होता देखकर जश्न मना रहे थे बड़े खुश हो,"At the time, it was a pleasure to see the celebration."
रहे थे अच्छा हुआ इनके साथ योग क्यों,Why Was It Good With Them?
क्योंकि उन्हें लगता है कि यह हिंदू,Because he thinks it's Hindu
विरोधी है पहली चीज तो है भी तो क्या,Is opposition the first thing to do
हमारी डेमोक्रेसी भाड़ में का हमारा लॉयन,Our Lon in our Democrey fuck
ऑर्डर भाड़ में गया बस यहां पर एक हिंदू,Order's gone the fuck just over here a Hindu.
विरोधी इंसान है मेरा दुश्मन है तो उनके,"As for the opposing people, they are enemies to Me."
साथ सब चीजें होनी चाहिए जो हमारे देश की,There must be all that our country has to do
डेमोक्रेसी लॉ एंड ऑर्डर के खिलाफ सेकंड,Seconds against Democrey Law and Order
दूसरा और ज्यादा इंपोर्टेंट पॉइंट यह एंटी,Second and more contriant point this ant
हिंदू सही में है यह सही में हिंदू,Hindu is right. It's really Hindu.
फैब्रिक है ऐसा क्या कहा था मुनावर ने,What the fuck is this guy said was that?
जिसको लेकर यह हिंदू विरोधी के ना अपने लग,One with whom the Hindu enemy does not look at himself
गए उन लोगों के अकॉर्डिंग मुनव्वर ने,Those men went according the conversity.
भगवान राम और सीता का अपमान किया था,God had humiliated Rama and Sita
एग्जेक्टली क्या कहा था इस वीडियो में,Egzley's words in this video
देखते हैं,Let's see
हां यह कि नाना जी का नाम राम था और यह,"Yes, his grandfather's name was Ram and this"
होली के दिन पैदा हुआ तो उन्हें इसका नाम,"So they are born on the day of Pentecost, and they are called by the name of it."
पोलाराम रख दिया अच्छा आयोजित लोहड़ी के,Let Potata put it in good place
दिन पैदा नहीं हुआ नहीं उसका नाम तो अरे,The name of the day is not created.
यह क्या वीडियो चला दिया कहांकहां घूम,Where did the videos go?
तुम्हारा दिमाग में,In your mind.
इस वीडियो में कोई दिक्कत नहीं है अक्षय,There is no difficulty in this video
कुमार की फिल्म थी इसे सेंसर बोर्ड ने ए,It was a film film with a sensor board
सर्टिफिकेट दिया था और कोई कट की डिमांड,The certificate had been passed and some cut command
थी तो इस वीडियो में कोई दिक्कत नहीं है,There was no difficulty in this video
दोस्तों इस वीडियो में,Friends in this video
राम,Ram
जन्म है वह थोड़ा,It's a little girl.
कम,Low
करते दशरथ के पुत्र राम,"Ram, son of Curertheth"
दशरथ के पुत्र खीर खाने से,From eating a meal for the sons of seerth.
बीजेपी की पार्टी है,The seed party is
और हिंदू विरोधी नहीं हो सकती जब तक कोई,And the Hindu cannot be an enemy unless he is an enemy.
बीजेपी का रिलेटिड इंसान बोल रहा है वह यह,He's saying it's Riepi's relayed to him.
बेसिक भूलें दोस्तों सलमान इमेज एडिटर,Basic Forgetr Selector Image Editer
आराम कर भाई मैं आपको खुद बनाता मुनव्वर,It's easy if I make you a lot of shit.
ने क्या बोला था भगवान को रिस्पोंड करना,What has he said to me?
हो तो वो गाना कैसा है ना मेरा पिया घर,"How about that song, my drink-house"
आया हो रामजी रामजी को तुम्हारे प्यार से,I've come to Ramaji from your love
कोई मतलब नहीं है वह कह रही है मेरा पिया,There's no point she's saying my drink
घर आया ओ राम जी ने कहा मैं  साल से खुद,Home came O Ram G said I've been myself for years
घर नहीं गया और अगर सीता ने सुन लिया तो,He didn't go home and if Sita listens
वह तो शक करेंगे कि तेरा पिया घर आया तो,"Verily, he (Muhammad SAW) came to your home, he (Muhammad SAW) to drink,"
मेरे पति को क्यों बता रही है उसको पहले,Why is my husband telling her before
से माधुरी पर शक तेरा करू गिन गिन के,Your tax count number from the mahar
इंतजार उसे लगा कि वह वनवास के सालगिरह है,He thought he's the birthday of the foresthouse.
यह जो कि सुनकर ऑर्डिनेंस हस रही थी और,That was Ordis' Hazards hearing and
इसकी ऑडियंस में बहुत से हिंदू भी बैठे थे,A number of Hindus were sitting in its Odins
कोई साइड इफेक्ट नहीं कर किसी को नहीं लगा,"No side was able to do it, no one seemed to be doing it."
कि इंसल्ट हम भगवान राम व सीता के लिए,That instant we owe God Rama and Sita
लेकिन इसके कुछ हफ्तों महीनों बाद कोई एक,But after a few weeks someone
इंसान खड़े होकर बोलता है कि मुनव्वर ने,The human being stands up and says that the Christ did.
तो यहां पर अपमान कर दिया भगवान रामसीता,So the Lord Ramasata did humiliate this here
का और अचानक से बीड्स अंधाधुंध लोग इसमें,And suddenly Beds Right on It
यकीन करना शुरू कर देते हैं यह वही,Let's begin to believe it's the same.
मुनव्वर ने हिंदू धर्म का अपमान किया है,Manwer has humiliated Hindu religion
एंटी हिंदू है वहां अपनी सिचुएशन इतनी,Anesthe Hindu is there so much of his surrogate.
अजीब हो गई है कि मुझे अपने वीडियो में,It's got to be weird that I've got in my video
अवैध जो को एक्सप्लेन करना पड़ेगा कॉमेडी,Invalid which must be Xplayed comma
होती है किस तरह से वह करी जाती है उसे,How She Is Done
रोडीज   केटेगरी में डिवाइड किया जा,Distributed in Rhode Krebé
सकता है पहला स्लैपस्टिक ह्यूमर फिजिकल,First SLCYCH'S HUCHPHYPHER FILD
ट्यूमर कोई केले के छिलके पर फिसलता है,The tumor floats on an egg's skin
उसे सिलेक्टेड टाइप को ट्यूमर कहते हैं जो,Let him call the clawed type of tumor.
चार्ली चैप्लिन करा करते थे दूसरा होता है,Charlie used to put away his hats the second
हूं यानि अपने ऊपर खुद,I'm the one who's on me.
जोक्स मांग रजत चौहान एक कॉमेडियन है वह,"The tax demand is an amalgam, that's an amalgam."
ऐसा करते हैं तो,So do it.
मुझे पता लगा कि लड़कों को मेंटेन करना,I found out that the boys had to work.
होता है,contains
कि होमीसाइड विघ्न तीसरा है सर रियल क्यों,That's the third why Homiside jot is the third deal.
मतलब अजीबअजीब सिचुएशन क्रिएट करना है,Meaning is createing strange strange strange strangeissacratics.
अपडेट सिचुएशंस क्रिएट करना और उस चीज का,Creating the update sash and of that thing
मजाक बना जैसे सुमित आनंद करते हैं इस माय,Make it a joke as this May
बर्थडे पर महात्मा बर्थडे विशेस वहां पर,"On the moon, the emperor is here."
लाइट माइकल गोट मैरिड इन थिस आईएस नॉट एस,Light Michael Got Mandel Ins Ies Not S
वांट मीट टो बे,Nent Metun To Be Be Be Be
माय बर्थडे,MayBirt
कि वे चन्ना वे दिप्लाई हर्ट हर फील्ड ए,.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
सॉरी है,Sorry.
है और बताएं डे टू हर,is the name of the author and the name of the author...
इसके बाद होगय इंप्रोवाइज्ड नेशनल ह्यूमन,"Next, Hoggegy Injudicative National Rights"
मतलब इंप्रॉन्प्टू ह्यूमर योर वहीं बैठे,means the Innuptupumumumumumer sitting there
बैठे थे ऑडियंस के साथ किया जाता है लाइव,satened with addission Live
गौरव कपूर इसके अच्छे हो जाएंगे इसके बाद,Great cuprur will be nice after this
होता है वर्ल्ड प्ले शब्दों को ट्विट करके,There's a World Play With Tweet
किसी तरह का मजाक बनाने के एक्सांपल जाकिर,Extent of some kind of fun making
खान और अभिषेक फिर आप कॉमेडी बनाओ आज की,Khan and anointing and then make you Comdy today
प्रेजेंट पॉलीटिकल और सोशल सिचुएशंस पर,On Preentritical and Social Assumptions
जैसा कि काम करता है और वरुण ग्रोवर करते,"As he does, and he's doing it as beautiful as he's doing."
हैं क्योंकि बचपन से हम जो सबसे पहली चीज,Because the first thing we've ever been born
सिखाई गई है वह घ्र सवाल नहीं पूछने में,She has been taught not to ask questions.
तीन रिंग में,In Three Rings
घूम रहा है,Moving
कि आप नहीं मिला  साल से कुछ नहीं मिला,That you got nothing from the year you didn't get.
है,is
है लेकिन आप पूछ नहीं सकते गोंद सिचुएशनल,But you can't ask if it's too bad.
ह्यूमर जोजो सिचुएशन चल रही है उसके,"Herzoutor, who is taking part in the process."
बेसिस पर जोक्स बने जैसे कि हेरा फेरी,"By the time I was born, I had no idea how long I was going to die."
फिल्म हो गई फिर हेरा फेरी फिल्म हो गई और,It turned out to be filmed and filmed.
फाइनली होता है डार्क झूमर यहां पर रियल,Finally is the Darwer's in here.
लाइफ इमेजेस का इस्तेमाल किया जाता है और,Life images are used and used
उन पर जोक्स बनाए जाते हैं यह पुणे पानी,This right water is made on those who are made
ने किया था मॉब लिंचिंग के ऊपर और मुनावर,And announce it over the Mobly Lesinger has done it.
फारुखी ने किया था बुद्ध राइट्स इश्यू पर,Farracy had done the Nazi Writes to Ou
वैसे यहां पर इसी से रिलेटेड एक बड़ी,A big drawn here by that.
इंट्रेस्टिंग किताब है जो ट्यूमर कोड इसकी,There's an Instituting Book with the tumor code
ऑडियो बुक समझ को कुए पर मिल जाएंगी जो,The audio book will be added to the peep
मैं आपको डेफिनेटली रेकमेंड करूंगा अगर आप,I'll address you if you can.
इस चीज के बारे में और जानना चाहते हैं कि,Want to learn more about this thing
किस तरह के और ट्यूमर सोते हैं और कॉमेडी,Which kind of tumors and circulars are
होती है वह  बड़ी ऑडियो लर्निंग,This is the big audio light
प्लेटफॉर्म यहां पर आपको ढेर सारी,The platform here is a lot of you on the platform.
बायोग्राफीज और इनफॉरमेशनल किताबें,Ingegraphies and Infurial Books
मिलेंगे एक और बॉक्स में कमेंट करना,See you at another box
चाहूंगा और यह  लाइसेंस फॉर ट्वेंटी,I'd like it and the license for T20T
फर्स्ट सेंचुरी आधे से पहले हजार,30 From Our Readers 31 From Our Readers 31 How Would You Answer? 28 Watching the World 30 From Our Readers 31 How Would You Answer?
सब्सक्राइबर्स को  डिस्काउंट मिलेगा यह,Subscribers to this will find the discastend
आपके लिए एक साल की कुड़ी कॉस्ट सिर्फ,Just for you a year's bark.
उन्हें नोटिस पड़ी अगर आप डिस्क्रिप्शन,They have notice if you listen to the disk
में दिए लिंक पर क्लिक करेंगे आम तौर पर,Click on a link given normally
विश होता है धूप ट्वेंटी ट्वेंटी पर सेंट,The sun happens to be at 20th century St.
आफ लेकिन पहले जान सब्सक्राइबर्स के लिए,But you're the first person to get life to the subsidiators.
ऑफ कर जरूर जाकर चेक आउट करिए अब,You must go check out now.
टॉपिक पर वापस आते हैं तो मुनावर के जो,Reporter's back on the topic
कंट्रोवर्शियल जो था यह वर्ल्ड प्ले की,This world's game of contribution is the world's
कैटेगिरी में ज्यादा फिट बैठता है माधुरी,The catapuls a lot of fit in the bowboneri
दीक्षित का फेमस गाना था मेरा पिया घर आया,My drink came home
हो रामजी  फिल्म से गाना था,It was singing from a Ramji film
रिकॉर्डिंग फेमस गाना था एक दो तीन पहले,Record singing was a two-first song
गाने हीरोइन सेलिब्रेट कर ली है कि उनका,The song Herolily calilius that's theirs.
पिया घर आया है और एक्साइटमेंट में वह राम,Drink came home and he's in an assignment
जी बोल रही है कि देखो हे भगवान फाइनली,"Look, God Finally, hey!"
मेरा पिया घर आ गया और दूसरे गाने में वह,My drink came home and he went to another song
महीने के दिन अकाउंट करनी है जब तक उनका,Until he reads on the month's day
पिया घर आएगा तो यहां पर योगी और राम जी,Drink home and Ram G
बोला इन्होंने तो मुनावर ने बर्ड्स प्ले,He said they played Byrons.
का इस्तेमाल करके पेटेंट किया कि भगवान,Used that devil that god.
राम माधुरी दीक्षित का यहां पर मजाक बना,Rama made fun of the patient here
रहे ग्रहों की लिरिक्स का इस्तेमाल करके,Using spaces for current planets
सुन रहे हो आप यहां पर भगवान राम को,You hear you're here to God Ram.
क्रिटिसाइज किया जा रहा है,Criticizing Crimea
का मजाक बनाया जा रहा है जिसमें श्री राम,Playing fun about Mr. Ram
जी यूज,GMILOGE
करें तो आपको समझ में आ जाता करने की,Let's get you to understand.
जरूरत नहीं है है लेकिन बाद में अब,Do not need but later now
क्योंकि इतने लोगों ने यह कहा कि यहां पर,Because so many said that here.
हिंदू विरोधी काम हो रहा है तो जिन लोगों,A Hindu adversary is at work.
ने नहीं सुना ये उनका माइंड आफ वैसली उससे,I don't hear it's their mom like her.
पॉइंट हो जाता है उससे डाइवर्ट हो जाता है,Moves a point to the spindle.
और लोग इनिशियल जंक्शन से जो को सुनने,"and by those who would listen to what is in vain,"
जाते हैं कि  लें यहां पर भगवान का मजाक,Let's take that take it here a joke of God.
उड़ाया जा रहा मुनावर का एक और भेजो कि आज,Send another voice of the shouter that today
बड़ा कंट्रोवर्शियल था जो उतर आए इस पर,The big tax coming down on what's happening.
किया गया था कि डाकुओं की कैटेगरी में आते,It's been that thieves come to the deserter
क्योंकि रियल लाइफ जिस पर यहां पर कमेंट,Because life on which to focus
करें यह वैसे अगर आप,Do it if you do it anyway.
घ्र,· Global Voices
में नोकर कि मैंने टीवी पर देखा था,No problem that I've seen on TV
अब फिल्म धर्मेंद्र विनोद खन्ना हेमा,"The film now turned out to be a rumble miner, Hema."
मालिनी की और फिर से लेकर इस्तेमाल करते,Using Malinate and Reuse
हैं और उन्होंने चैनल बंद कर दिया,They have stopped channeling out.
और मैंने कहा कि उन्होंने बताया कि गोधरा,"And I said, ""What you do?"""
कांड का वीडियो न्यूज़ चैनल,Video News Channels
न्यूज़ चैनल की न्यूज़ चैनल्स अक्सर यह,News layouts of the News channel often this
स्टेज पर आते हैं और लोग उसे एक शुरू करते,Come on the stage and people start it
हैं और अगर कोई टीवी पर बहुत वायलेंट,And if there's someone on TV that's very yint.
खूनखराबे वाली फोटोस देखता तो लोगों को,Look at people looking at blood photos
लगता है कि न्यूज़ चैनल चल रहा होगा न्यूज,News seems to be running the channel
चैनल्स पे अक्सर ऐसा करते हैं वे इस सारे,Channels often do this all of this
और इसके बाद उन्होंने फिर भी माफी मांग यह,And after that she still apologized for it.
कहते हुए कि उनका कोई इंटेंशन नहीं था,"They said, ""No harm was done to him."""
किसी भी भगवान को रिस्पेक्ट करना और उसी,Reflecting on and belonging to any God
लिंक शर्ट नहीं करना चाहते थे और वह सॉरी,Link did not want shirts and he was sorry
मांगते हैं अगर किसी की इन अनइंटेंशनली,ask if someone has initibility
उन्होंने फीलिंग शर्ट खरीद  महीने बाद वह,He bought the hairling shirt a month later
इंदौर गए एक शो में परफॉर्म करने के लिए,To adapt to a show in Idreres
वहां पर उनके शो को रोक दिया गया जब एक्स,There his show was stopped when X
बीजेपी एमएलए का बेटा वहां पर स्टेज पर,Son of BpepML on the stage
आकर खड़ा हो गया यह बंदा था एकलव्य गॉड एक,It was the single God that came and stood up.
हिंदुत्व ग्रुप का चीफ भी और मुनावर को,And the chief of the Indian Group.
वहां पर स्टेज पर परफॉर्म नहीं करने दिया,Don't allow platforms on the stage
गया इस विजिलेंटे ग्रुप क्या का यह गुंडा,What about this Witter group?
ही कहा जाएगा यहां पर क्योंकि यहां पर,'Cause it'll be said here.
धमकाया जा रहा किसी को शो रोकने के लिए,Fearing someone to stop the show
इन्होंने मुनावर को ले जाकर पुलिस के पास,They took the call to the police
हैंडओवर कर दिया मुनावर और उनके साथ तीन,Headver made the declaration and three with him
और कॉमेडियन को जेल में भेज दिया गया और,And Caredian was sent to prison and
इंट्रस्टिंग बात यह थी कि मुनावर में अभी,The event was that at the broadcaster right now
तक शुरू तक नहीं किया था इन्होंने कोई जोक,They didn't have any Joes until the start
बोला भी नहीं था उससे पहले ही जेल भेज,He hadn't gone to prison before
दिया गया मां के जो इंदौर के एसपी से,From Her Papier's Expenses
उन्हें एडमिट भी किया था कि कोई वीडियो,He also did him any videos
अपडेट्स नहीं हमलावर के खिलाफ लेकिन उनका,Not update against the attack but theirs
इंटेंशन था जो करने का इसलिए वह जेल में,"Because of my condition, she was in prison"
बंद है तो इसी को लेकर हैडलाइंस भी छपी थी,"It's closed, but it's also published by the Hasids."
अखबारों में कि मुनावर ने बस जो कि सोचा,"It is not surprising, then, that in many places there is a lack of interest in the message of God's Kingdom and the hope of everlasting life on a paradise earth."
अपने दिमाग में और उसी की वजह से वह जेल,His mind and his body led him to prison
में बंद हैं  दिन तक वह जेल में बंद थे,He was locked in prison until the day he was in prison
शूज इनके कैंसिल किए गए और आज के दिन,Shuz made his cascincap and today
तक पुलिस ने इन्हें प्रोटेक्शन देने से,Until the police let them pass.
मना कर दिया इन फैक्ट पुलिस सजेस्ट करती,These factory police digests
हैं कि अपने सॉस कैंसल कर तेरे मुनावर के,There's that doing your cheese Canva's business...
बाद यह सेम सिचुएशन कुणाल कमरा के साथ कोई,It's no one with Szechce Szyszy Room
और भी सैंटली अभी कैरी मिनाती के साथ भी,More Thani still with Molobi
हुई यहां पर मैं कहना चाहूंगा मैं कोई,I'd be here to say no
ज्यादा बड़ा फैन हूं कैरी मिनाती का मैंने,I'm the biggest fan.
उसके पुराने कांटेस्ट की कुछ एस्पेक्ट्स,Some features of his old thorny
को लेकर क्रिटिसाइज भी किया हुआ है लेकिन,There's also the Crimeanization but
वह कोर्ट है ना आई एम ए डिस्को एग्री विद,She's a court not an iMo egrege
व्हाट यू से बट आई विल डिफेंड ठेर राइट टो,Whats from U.S.A. . . . . . . . . . . . . . . . . . . . . . . . . . . . .: . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
उस अट यहां पर में कैरी मिनाती के फ्रीडम,At that o'clock in the hat
आफ स्पीच को ऊपर भी सपोर्ट करता हूं एस,"I also support the speech up, S."
लोंग एस उनके या किसी भी और के कॉन्टेंट,Loung S or any other copies of him or
में कोई भड़काऊ चीजें नहीं है धर्म के,There's no rustling thing in religion
खिलाफ नफरत भूलने चीज नहीं जो कि नहीं थी,I couldn't forget that I didn't hate it.
खैर मिनट के कॉन्टेंट,Well minute Content
वीडियो रिलीज किया था ट्यूब करके जिसमें,With a tube containing a video release
मजाक उड़ाते यूट्यूब यूट्यूब द्वारा,Astounded by YouTube YouTube
प्रोवाइड की गई स्पेस स्टूडियो प्रोवाइड,Proveted Space Stealing
करते हैं इसका मजा आ,Let's enjoy it
जाते हैं इस स्टूडियो के लिए और यह राम और,Let's go for this studio and this for Ram and this
लक्ष्मण की कॉस्ट्यूम पहने हुए हैं और यह,They're wearing hypnotism and it's.
फोन का इस्तेमाल कर रहे हैं तो मैं कहूंगा,So I'll say if you're using the phone
कि,that's it?
सब्सक्राइब की कैटेगिरी में मतलब राम और,The catharb's catalyb means Rama and Rama
लक्ष्मण को जॉइंट करते हैं ट्रेडिशनल,Spontologists pay business contracts
कपड़ों में और यहां पर इसे मिक्स किया था,It was mixed in clothes and here
नई टेक्नोलॉजी के साथ और,And with the new technology
सब्सक्राइब कीजिए मजाकिया लग रही है,Sacrabe looks funny
सर्च करके देख लेना है,Search to See
किसी,Anyone
ना किसी का ट्विटर पर अपने धर्म का,No one's religion on Twitter
ठेकेदार समझते हैं और उन्होंने धमकी दी कि,People understand and threaten that
उनके खिलाफ क्रिमिनल कंप्लेंट कर देंगी,Kriminary will try to put an emergency on them.
एयरप्लेन फोल्ड कर देंगे अगर यह कांटेस्ट,Airplay will be done if this thorn
हटाया नहीं तो माफी नहीं मांगी तो,"Not a pardon, not a request."
इंट्रस्टिंग चीज है दोस्तों कि जो लोग,Etrustting things that guys that do.
नौकरी करते हैं यहां पर हिंदू फोबिया के,Work here of Hindu gabee
नाम पर और धमकियां देते हैं यह लोग कितने,How many of these people give more names?
सिलेक्टिव लोग हैं आप यकीन नहीं करोगे यह,You'll not believe it's the virtue-resistent people.
लोग हर हर मोदी के नारे लगाते हैं जो कि,People shout every Modi that's gonna sound like that.
एक ऐसा नारा है जो हरहर महादेव के नारे,There's a slogan that's the slogans of every great Ranadev.
से लिया गया है,has been accepted
रिलीज स्लोगन का इस्तेमाल करना और उसे,Using the Release and Him
टेस्ट करके पॉलीटिशियन के लिए स्लोगन बना,Made Sman by test for Poly-Tian
