Hindi,English
अदर यस दैट इज द मैजिक ऑफ लाइव ट्रांसलेट,Augustine of Magic - Live Translucency
इनफैक्ट आपको एक डेमो दिखाता हूं,I'll show you this factory a demo.
देखिए सारी फोटोज जो हमने की ल द फोटो दैट,See all the photos we've seen in the picture
आर ओ ऑल राइट आई विल सेंड इट टू यू बट डू,"R. All right, I'm sending it to you."
यू नीड वाया,URD STDK
मेल के माध्यम से,Through Mail
चाहिए पर एचडी फोटो सेंड कर दो,Let's make HD photos meet.
मुझे सेंड मी एन एचडी फोटो ऑन व्ट इफ आई,"If I have a child, I'm not sure if I have a child."
डोंट सेंड,Dot Sand
यू क्या होगा अगर मैं आपको नहीं खेता अव,What if I don't plant you
मैं तुझे बहुत,I have you so much
मारूंगा अर् आई विल किल यू अ लट लेकिन याद,Mar Illalu At but Remember
रखिए अभी  लैंग्वेजेस का सपोर्ट है,Keep Language Support Now
ओबवियसली लैंग्वेजेस और भी बढ़ेंगे ब,Oblivilily Languages More Up
लैंग्वेजेस आ सपोर्टेड नाउ और कॉलिंग में,Language Supported Naug and Calling
ही नहीं दोस्तों अगर आप,Not only your friends if you're.
क्लाउड हां स्टार्ट में आपको,You at the Clared Start.
छोटा सा पैकेज जो होता है लैंग्वेज का वो,The little package that comes with the language
डाउनलोड करना पड़ता है,Download has to be downloaded
दैट्ची नहीं है अब इसमें एक फीचर आ गया है,Not really. There's now a feature in it.
जहां पे मैं कुछ भी स्क्रिबल करता हूं ऊपर,"Wherever I go, I do anything Scribe up."
नीचे,Bottom
लाइंस ठीक तरह से नहीं है सब कुछ वो,Lynds are not fine. Everything he is.
ऑटोमेटिक एआई की मदद से फॉर्मेट करता है,Formats automatically using AI
बुलेट पॉइंट्स वगैरह आपको दिखाता है इतना,A bullet point shows you so much
इजी हो गया है माय गुडनेस तो ये तो नोट,"My good night's worth is over, this is a note."
टेकिंग के लिए हो गया लेकिन आपके स्क्रीन,Timed for Teching but Your Screens
के ऊपर बड़ा सा पैराग्राफ है बहुत सारा,There is a larger paragraph above
टेक्स्ट है दोस्तों वो आपको समरा इज करना,The text is friends they post to you.
है एआई से वो भी सराइज होके वो आराम से,He's also up to the AI that's easy.
आपको दे देगा तीन चार लाइन में कि भाई ये,Will give you three-line that brother
समरी है इस पैराग्राफ की और दोस्तों सोचिए,Sumri is reading this paragraph and thinking about friends
आप कॉलेज स्टूडेंट हो और आपका क्लास चल,You're college students and go on your class
रहा है और आप रिकॉर्ड कर रहे हो  लोग,And people you're recording.
बोल रहे हैं लिटरली  लोगों का जो आवाज,The voice of the common people who are speaking
है वो वो सेगमेंट कर सकता है और आपको,He can analyze it from you and you.
बुलेट पॉइंट बना के दे देगा मतलब यू डोंट,He'll make the bullet point
हैव टू लिसन टू दैट वॉइस रिकॉर्डिंग जो भी,Whatever Hamve Torrent Records
आपने किया हुआ है ऑटोमेटिक एआई क्रिएट कर,You have been created Automation
देगा पॉइंट्स नोट्स जो भी है माय गॉड इट,"Will draw notes which are supported by my God, God."
इज बिकम सो इजी नाउ माय गॉड मतलब आजकल के,My God means today
स्टूडेंट्स के लिए क्या इजी हो गया है ये,What's become of this for professors?
जेनरेटिव एआई के बारे में बात करते हैं,Epiphany Talk about AI
दोस्तों जी हां जनरेटिंग फिल जनरेटिंग,Guys Yes Generateing Phil Indexing
वॉलपेपर्स आ गए हैं अब कोई भी वॉलपेपर ऐप,The wallpapers have now arrived
की जरूरत नहीं है जी हां जैसे चाहिए वैसे,"Do not need Yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,"
आप वॉलपेपर्स क्रिएट कर पाओगे जैसे,You'll be able to create spiders like
आर्किटेक्चर वाला चाहिए ये कलर में चाहिए,The arc is about to be displayed in color.
द वे यू वांट अब दोस्तों फोटो एंबिएंट,The U.S. guardian now friends photo Antenct
वॉलपेपर भी आ गया तो आप कोई भी वॉलपेपर,"If the helicopter comes too, you'll have no one to harm you."
आपको जैसे चाहिए क्रिएट कीजिए बाहर स्नो,Create out snow just like you want.
गिर रहा है बारिश गिर रही है आपको,Rain is falling down to you
एक्चुअली लॉक स्क्रीन पे वो दिखेगा सो लॉट,They'll look sobt on an airlock screen
ऑफ स्मॉल निफ्टी फीचर्स   आता है,Off-to-blank features occur
इसके ऊपर जिसमें बहुत सारे छोटेछोटे नए,Above which very little new
फीचर्स आए हुए हैं फॉर एग्जांपल लॉक,Features are here. Foregres Lock Lock
स्क्रीन पे भी देखिए बहुत सारे नए विजेट्स,Look at the screen too many new widgets
वगैरह आ गए जो बेसिकली आप इस्तेमाल कर,The originals you use
पाओगे देयर आर लॉट्स एंड लॉट्स ऑफ़ थिंग्स,You will find David R. Lots and Laws of the Womenings
टू ॉक अबाउट ऑन द सॉफ्टवेयर साइड जनरेट,Toclock now on the software side generation
फील जी हां फोटो आपने निकाल लिया और एक,Photo itself and one.
पोल आ गया या ट्री आ गया या कार आ गया जो,Come or come a tree or come a car
आपको निकालना हैन वांटेड चीज जो भी है,You have to remove whatever is pasted thing
निकालनी है आई विल टेल यू व्हाट ऐसे हो,I'm going to have Will Tell Uhat as it's...
जाता है इसके लिए क्लाउड पे वो जाता है आई,Goes for that.
थिंक बाकी सब जो है वो ऑन डिवाइस है सिर्फ,There's the rest of us that's on the device only
इसी के लिए बट वो भी इतनी अच्छी तरह से,The butt for that as well.
करता है आई वाज इंप्रेस्ड और,Works IZ in effect and
ने वाले हैं ए  आउट,Ne_u Out
ऑफ द बॉक्स आता है एंड देन ए,Off of the box comes and gifts A
या ए  तक आपको मिलने वाला है वैसे,Or you're gonna get by till you're gonna get
साल तक कौन फोन इस्तेमाल करता है बट यस,Who uses the phone for the year
अपडेट्स जरूर मिलेंगे आपको अगर मैं,You must meet the update if I
हार्डवेयर के बारे में बात करूं इट्स अ,I want to talk about hardware
इंक्रीमेंटल अपडेट डिस्प्ले के बारे में,About Incremental Update Display
बात करूं दोस्तों इसका ब्राइटनेस बढ़ गया,I think my friends grew up with Brandon.
है जी हां  इंच का क्यूएचडी प्लस मतलब,Yes Yes yes. QHd plus inh.
डिस्प्ले आता है इसके अंदर एलटीपी,Display is displayed inside TP
डिस्प्ले है तो एडाप्टिव रिफ्रेश रेट है,Displaying the display is smoother
हर्टज टू  ह  निटस पीक ब्राइटनेस,Hétiz Tous Pacthamtes
हो गया सो दैट इज गुड और हां अब फ्लैट,So good night and yeah flat now.
डिस्प्ले हो गया व कर्व नहीं है लेकिन,Display is not displayed but
बहुत सारे ऐसे भी होते हैं जिन्हें फ्लैट,There are so many who are flat
डिस्प्ले अच्छा लगता है क्योंकि अगर वो,"Displays like it, because if it's cool"
गेम्स वगैरह खेलते हैं फ्लैट इज बेटर,Play games and games flat subterterre
व्हाट इज योर चॉइस नीचे कमेंट में जरूर,What noblei Yar choice this down in comments
बताइएगा वैसे आगे बढ़ने से पहले दोस्तों,Tell them how to proceed before they reach out
सब्सक्राइब करना मत भूलिए और हां डिस्प्ले,Don't forget to subscribe and display
लो रिफ्लेक्टिव डिस्प्ले है ये या तो आप,Lowest display is either you or
बाहर हो सीधा सनलाइट आ रहा है इसके ऊपर,Exiting direct lightlight up
इतना ज्यादा रिफ्लेक्शन नहीं आएगा सो इट,It won't come so much refuffle
विल मेक इट इजी फॉर यू टू रीड ऑन द,"Will Make It Eto read on """
स्क्रीन सो दैट परफॉर्मेंस के लिए दोस्तों,Guys for Screen Solens
इसमें आता है  जन  मेड फॉर,It contains the public Mede Ford
वाला जो है वो  पे लेकिन,Who's gonna have that on but.
बाकी के जो कोर्स है सेवन कोर्स वो आपको,The rest of the course you're using
मेगाह से कम है सो अगर  गह होगा तो,"It is less than a bed so that if it should be a bed,"
है कहां पे जो दूसरे कोर्स हैं और,Where's where other courses are and where's that?
मुझे लगता है ये हीट मैनेजमेंट के लिए,I think that's for the floor.
थर्मल्स के लिए उन्होंने ये किया हुआ है,They've done this for the Nests.
इसका स्कोर जो है अथ द स्कोर क्लोज टू,His score that is innocuous The Score T. C. T.
मिलियन आता है   मिलियन आता है,There comes millions of millions.
हाईएस्ट सेटिंग्स पे आप गेमिंग वगैरह कर,Highest Settings Do you play and do things
पाओगे गेमिंग में कॉल ऑफ ड्यूटी  पे,You will find a call of duty on the game
खेल पाओगे न्यू स्टेट जो है दोस्तों वो,You'll find a game that's a new state that's friends.
पे खेल पाओगे वैसे थर्मल्स भी ना,You can't even find a game.
अच्छे हैं दे आर मच कंट्रोल क्योंकि वन,"Because the forest is good, R-Eye control control control"
एक वेपर कूलिंग चेंबर है जिसकी वजह से,That's why they're cooling shit.
हीट डिसिपेशन अच्छी तरह से होता है एंड,The shellation is well-being and is well-known.
फोन ठंडा ठंडा रहता है अगर मैं इसके बारे,The phone is cold if I about it
में बात करूं तो इंटरेस्टिंग एक ही,"If I talk in the same language, it's the same."
वेरिएंट आता है  रम का हां यू हैव,They come at the entrance of Ramadan.
स्टोरेज ऑप्शंस है  है  है,There's a storeage · Global Voices
टेराबाइट भी है बट दे डिड नॉट गो ऑन दैट,The Tetite is also divided de Did Not Go on
वाला जो बैंड वगन था उधर नहीं,I'm not gonna have a gun and a gun.
है  रम वाला ही फोन आता है  म एप,There's only a Rami phone to the MT
की बैटरी है चार्जिंग स्पीड बढ़ाया नहीं,The battery does not add chargeing speed
है  वाट का चार्जिंग स्पीड है  वा,Do you want to see whether or not he is chargeing the vt?
वायरलेस चार्जिंग है  वा रिवर्स,What's Showing or Rivers
वायरलेस चार्जिंग आती है वैसे दोस्तों ूब,"I'm being accused of being a friend of yours, mate."
टाइप सी जो है है ये  जन  है,The type is the same person.
मल्टीमीडिया बड़ा डिस्प्ले है ब्राइट,Multimedia great display is Brandite
डिस्प्ले है,Displayed
नॉक सिक्योरिटी आता है कनेक्टिविटी अगेन,The connectivity comes
सभी बैंड्स का सपोर्ट है,All banders support
ब्लूटूथ  आता है एएसी है इसके अंदर सो,The chlorophysicist comes in.
ऑल द कनेक्टिविटी ऑप्शंस आ देर वैसे अगर,All the connectivity have a late if
मैं सिम कार्ड के बारे में बात करूं,I talk about the Sim card
दोस्तों तो ड्यूल न सिम कार्ड आता है बट,Guys don't come up with a pair of cards
इसम का भी सपोर्ट है सो इट्स ड्यूल न सिम,"This is also support, so Italy has no schedule."
कार्ड एंड अगर ईम इस्तेमाल करना है तो एक,If cards and eM is to be used
फिजिकल और एक ईम आप इस्तेमाल कर पाओगे,You'll find it easier to use them.
वैसे क्विकली आपको बता दूं,Let me tell you exactly
के डिवाइसेज है वो सब आप फाइंड कर पाओगे,There's a deviceage that's all you can find.
अल्ट्रा वाइड बैंड का सपोर्ट है तो उससे,"If the ball is the key to the band, then it's the key to the band.."
वो ट्रैक करता है दैट इज गुड फाइनली लेट्स,He tracks you
टॉक अबाउट कैमरा क्वाड कैमरा सेटअप है इसे,Talk is setup This
मेगापिक्सल का प्राइमरी सेंसर है,Mega pixels has a hypothetical sensor
मेगापिक्सल का पेरिस्कोप है जो आपको,There's Paris of Mega pixels that you have
ऑप्टिकल जूम देता है और एक टेली फोटो,Generates the Optical Zoom and ant photo
सेंसर है जो  मेगापिक्सल जो आपको,The sensors that Mega Pixels you
देता है और अगर पेरिस्कोप और टेली फोटो को,Gives and if Paris and Liszech photo
कंबाइन करते हैं तो टोटल ऑप्टिकल जूम आपको,Tolble Optical Zoom You So conjugate.
का मिलता है एंड  मेगापिक्सल का,Let's get and find Mega pixels
आपको अल्ट्रा वाइड सेंसर भी मिलता है सो,You also get the meed sensor
दैट इज द सेटअप फोटोज वगैरह दिखाने वाला,Displaying Setup Photos
हूं जी ड्राइव पे बहुत बत सारे ओरिजिनल,I'm GDG pat a lot of baths
फोटोज निकाले हुए हैं जरूर जाके देखिएगा,You must look at the picture.
अगर मैं जूम के बारे में बात करूं इट,It's if I talk about zoom.
स्टेज इंटैक्ट मतलब जो लीगल सी है  अा,The stage etaction means the legal coming
की ये फॉरवर्ड करता है तो अगर मैं,If I do this for a reason
पेरिस्कोप के बारे में बात करूं मतलब टेली,I mean I want to talk about Paris
फोटो के बारे में पहले  मेगापिक्सल का,of Mega Pixels first about photos
था अब सीधा  मेगापिक्सल का हो गया है,"It was then of the Straight Mega (the Day of Resurrection),"
एंड और एक एक्स्ट्रा भी दे दिया है उतना,And has given more strength.
ही नहीं दोस्तों इसका जो,Not a friend.
अपरचम कर दिया है मतलब ज्यादा वाइड एेचर,Upper hashed means high-color environments
हो गया है पहले   था  हो गया है और,Has happened and has been before
जिसकी वजह से लो लाइट कंडीशंस में आप बहुत,That's why you're in Lom Light Checks a lot.
अच्छी फोटोग्राफी वगैरह कर सकते हो और हां,"Well, you can do kind of photography and yes."
एआई का ओबवियसली कैमरा में तो बहुत ज्यादा,AI's obius camera too much
यूज होता है इसमें भी है दोस्तों जहां पे,There's also where friends go
एसेंशियली एआई की मदद से वो फोटो शार्प,With the help of SDial AI that photo Shap
करता है जब आप जूम फोटोज वगैरह निकालते हो,Makes known when you zoom photos
इट मेक्स इट शार्पर यूजिंग एआई वैसे,It's like it Macx it's a staring AI like it.
नॉर्मल जो फोटोज है दोस्तों वो  मेगा,The general photo he's friends he'll make
डिफॉल्ट मोड जो है वो  मेगापिक्सल पे,Default mode which is Mega Pixel
फोटोज निकलते हैं लेकिन आप नेटिवली,You get photography but you're Native
मेगापिक्सल के फोटोज भी निकाल पाओगे एंड,You'll also get photos of Mega Pixels and get them out.
इंटरेस्टिंग नया नाम दिया है,New name has been given interactively
सारी चीजें कर सकते हो एआई के साथ इधर वो,All you can do here with AI.
क्लाउड में जाता है तो एडिट वगैरह करना है,Goes to Klond and perform.
कुछ चेंज करना है फोटो में कुछ निकालना है,Some change in photos
कुछ ऐड करना है ऑल दैट यू कैन डू एंड आई,There's something to do
विल टेल यू व्हाट आई वाज इंप्रेस्ड मतलब,Will Tell Uhat An Injudicious Meaning
ऐसे नहीं है कि सिर्फ नाम के लिए फीचर आया,Not that mere feature of name came only
हुआ है जब हमने उसे यूज किया आई वाज,"When We provided him with food, or am I inclined towards him?"
इंप्रेस्ड और एक मुझे फीचर अच्छा लगा,Integrate and one of the features I enjoy
ज्यादा बात नहीं है उसके बारे में लेकिन,Not much talk about him but
वो इंस्टेंट स्लो मोशन तो आपने नॉर्मल,"Well, if you're an adult, you'll be able to care for it."
वीडियो निकाला हुआ है लेकिन अगर आप लॉन्ग,Video has been fired but if you fail
प्रेस करोगे वो एक्चुअल में स्लो मोशन,Pressing on he's pumping halo in an operation.
करता है एसेंशियली एआई की मदद से वो बीच,She's in the middle with the help of SDial AI
में फ्रेम्स डालता है एंड मेक्स इट स्लोअर,Puts frames in and mex Iteler
इट लुक्स गुड ऑलराइट वीडियो ग्राफिक के,It's just the good-right video graphics.
बारे में बात करते हैं   से शूट,Let's talk about shoot
कर पाओगे बट अनदर इंप्रेसिव थिंग इज,You'll be able to figure out what's happening.
में  एक से लेके  तक आप,From one to you
वीडियो शूट कर पाओगे नाउ दैट इज इंप्रेसिव,Can't shoot video
और उतना ही नहीं इट इज जब आप वीडियो शूट,And not as much when you shoot the video
कर रहे हो आप एक्चुअली चेंज कर पाओगे वो,You'll be able to change that.
वाइल शूटिंग द वीडियो वैसे सेल्फी के बारे,I'm not sure if you're going to have a movie....
में बात करूं तो  मेगापिक्सल का सेल्फी,"If I speak, I'm going to talk about it."
सेंसर आता है बट इट कैन शूट,The sensor comes half it's 18-10.
वीडियोस वैसे वायरलेस चार्जिंग के बारे,Videos sort about laying the wrong-on-sancing
में बता दिया मैंने और एक दो चीजें,I told you two things
का सर्टिफिकेशन आता है तो पानी और डस्ट,Let's see if there's a lack of water and resurgents.
वगैरह होगा कोई प्रॉब्लम नहीं बाकी व्हाट,There will be no more blugs.
एवर यू एक्सपेक्ट इन अ फ्लैगशिप फोन,Former E-Experation In A Flag Call
एवरीथिंग इज देयर आई मीन सीरियसली हमें,"At the same time, I had to write a letter from the branch office of Jehovah's Witnesses in Brooklyn, New York."
कुछ दिनों के लिए इस्तेमाल करना होगा और,Must be used for a few days and
ये मेरा प्राइमरी ड्राइवर होने वाला है,He's gonna be my senior driver.
अगले कुछ दिनों में तो इसका एक डिटेल,So in the next few days a letter of his
रिव्यू आने वाला है उसके लिए जरूर रुकिए,Wait for what is going to happen.
उसके लिए सब्सक्राइब करना मत भूलिए और हां,Don't forget to subscribe to it and do it.
जैसे हमने लास्ट ईयर देखा वैसे ही,Just as we saw Lastre.
सीरीज में भी बहुत सारा रिसाइकल मटेरियल,Even in Cerries a lot of lifeliness
इस्तेमाल किया है सो एनवायरमेंटल फ्रेंडली,Used Soilordle Fredley
जो पैकेजिंग है दोस्तों उसमें,What's going on with friends in what's going on?
रिसाइकल मटेरियल है एंड देन ये बटंस वगैरह,And that's a deal.
जो एलुमिनियम वगैरह यूज़ किया है वो भी,What I've done is that's what I've been able to do.
बहुत सारा रिसाइकल है सो या दैट इज देयर,There's too much Soll or Exhilaration
पर व्हाट डू आई थिंक व्हाट आर माय फर्स्ट,But What do Iorn vhat R.
इंप्रेशंस ऑफ,Insecurity of the Insecurity
से बट अगर अभी आप प्रीऑर्डर करोगे,You're going to be prejudicial right now.
कुछ  के बेनिफिट्स आपको मिल रहे है,Some Benvits are getting you
के डायरेक्ट बैंक ऑफर्स वगैरह हैं,There are direct banks of the country
एंड  का आपको स्टोरेज स्पेस मिल रहा,And you're getting a storeback space.
है सो टोटल  के बेनिफिट्स मिलने वाले,One of Sol's Ben-Patt going to meet the Ben-Fittings of Sol
हैं तो इफेक्टिव प्राइस अगर मैं देखूं तो,So if I see you
में आपको  वेरिएंट मिलने वाला,In there you're gonna get an injection.
है व्हिच आई थिंक इज इज क्वाइट गुड प्राइस,There's Wych I Wych vyn XTuu Good Good Good morning.
के मामले में इट वाज एक्सपेक्टेड  की,"For example, in the case of %1"
भी प्राइस सिमिलर थी इस टाइम  अल्ट्रा,There was also a glacier this time
की भी प्राइस सिमिलर आ ये  से ज्यादा,KTimbor coming over.
है बट ऑफर्स की वजह से थोड़ी कम हो जाती,A little less because of the pins.
है  बेस वेरिएंट एंड प्लस इसका भी,The base variant and plus it
रिव्यू एंड अनबॉक्सिंग आ रहा है तो वेट,So Tux is coming to Review and Anboxing
फॉर दैट जो  अा के साथ वन ऑफ द बेस्ट,Fortifications with the coming of the forest of the Goods
फ्स था  में इसमें डेफिनेटली,fins in the finnetine
पोटेंशियल है  का वन ऑफ द बेस्ट फस,The substance isial. The forest of the Best Fes
होने का यूज़ करने दीजिए मजा आने वाला है,Let's have fun coming
अगले कुछ दिनों में आई एम एक्साइटेड आर यू,"In the next few days, I was sent to an IdR U.S.A."
वैसे दोस्तों कोई सवाल है आपको,"Well, there's no question about you"
के बारे में आपसे पूछ रहे तो ये वीडियो,If you ask about these videos
फॉरवर्ड करना मत भूलिए चलिए दोस्तो इस,"Don't forget to accept this, mate."
वीडियो में इतना ही अगले वीडियो तक कीप,Even the next video block in video
ट्रैकिंग एंड स्टे,Tracking and Stack
सेफ,Sef
