Hindi,English
होता है कि इस पर किसी तरह का टेस्ट किया,There's probably some kind of trial on it
जा रहा था और उसी से इसकी मृत्यु हुई है,By which he was going to die.
यह जानकर तो डेविड हैरान रह जाता है कि,So David is surprised to know that
आखिर ऐसा घिनौना काम कर कौन सकता है दूसरी,Who could do such a detestable thing?
तरफ टॉम की नजर जेम्स के पास मौजूद उस जिम,Tom's eye near James
वाले बंदे की फोटो पर पड़ती है जिसकी मृत,Comes on a photograph of a guy who is dead.
बॉडी को देखकर वह अपने पिता से कहता है कि,"Seeing the body, he tells his father"
यह तो बिल्कुल हल्क जैसा दिखाई दे रहा है,This will be a perfect solution.
क्लासिक हल्क ग्रे कलर का था बाद में उसे,The classic solution was of gray color after him
ग्रीन कर दिया गया ऐसा लग रहा है मतलब कोई,No one means that it's been green.
उसे हल्क बनाना चाहता था शायद लेकिन यह,"Wants to solve him, but it may."
बेचारा मारा गया अब ये सुनकर जेम्स हराने,"He was killed, and he heard what had happened."
जाता है जिसके बाद ऑफिस आने पर उसे कल रात,After which the office belongs to her last night
मिली बॉडी के बारे में और पता चलता है उसी,The same is true of the Governing Body
बॉडी के बारे में जिसका दिल निकाला गया था,What about the body that had been removed
जेम्स नॉर्मा से कहता है कि जो भी यह,James Norma tells her whatever it is
हत्यारा है उसका मकसद खुद की एक सुपर हीरो,He is a killer. His goal is to have a super power hero of his own.
टीम बनाना है याद है उस आर्मेन वाले इंसान,Remember how the team is built
का दिल निकालकर उसे जिंदा रखने की कोशिश,Bringing out the heart to keep her alive
की जा रही थी बिल्कुल आयरन मैन की तरह और,It was going to be just like the Iron Man and
बाद में उसे आर्मरर वाला सूट भी दिया गया,Later he was given a Armer suit
अब ये सुनकर नॉर्मा को भी जेम्स की बातों,Now she has James ' comments to Norma
पर यकीन होने लग जाता है कि शायद हो सकता,But it seems to be sure that maybe.
है ऐसा कुछ हो अब टॉम को डेविड का पार्टनर,There's something like this now Tom's partner to David
बना दिया जाता है क्योंकि उसे कॉमिक और,Because he is made comical
सुपर हीरो की अच्छी जानकारी होती है जिसके,Super hero has a good information with
बाद दोनों वहां पर आते हैं जहां आर्मरर,Then both come to where Armer is
वाले बंदे की बॉडी मिली थी वहीं पर वहां,The guy's body was found there
चारों तरफ टॉम को लॉर्ड ऑफ द रिंग्स के,From the Lord of the Rings around Tom
वेपंस दिखाई देते हैं लेकिन वहां पर एक,They look visible but there's one over there.
कुल्हाड़ी भी रखी होती है जिसे वैसे वहां,"There are also angels placed in charge of each other's affairs,"
होना तो नहीं चाहिए था क्योंकि कुल्हाड़ी,Because the ant shouldn't have been
को देखें तो वो लॉर्ड ऑफ द रिंग्स का,Look at the Lord of the Rings.
पार्ट नहीं है इसलिए डेविड उस लाड़ी को,Not part so David that mani is not part
फॉरेंसिक लैब भेज देता है जहां उस लाड़ी,Forensic Lab where the singer sends
पर फिंगरप्रिंट्स के निशान मिल जाते हैं,But the fingerprints get marks
जो किसी फायर फाइटर के थे और इसलिए सभी,Which belonged to a firecracker and so all
तुरंत उस फायर फाइटर के घर पहुंच जाते हैं,Soon the firecracker's house is found
जहां उन्हें उसके कमरे से काफी ज्यादा धुआ,Where they look more than his room
निकलते हुए दिखाई देता है और जब डेविड और,"And when David and his men arrive in the middle of the night, they come out."
बाकी उसके कमरे में जाते हैं तो वहां,The rest go to his room.
उन्हें वो फायरफाइटर एक कांच के पिंजरे,He's the fireflower cages of a glass..
में कैद दिखाई देता है जिसे भी किसी तरह,"In any way, I see prison"
का कोई सूट पहनाकर आग के हवाले कर दिया,Let's tie a suit and hand it over to the fire
गया था सभी फिर जैसेतैसे उस पिंजरे को,Then all of them were taken to the cages.
तोड़कर उस आदमी को बाहर निकालते हैं लेकिन,Breaking that guy out but
तब तक बेचारा अपना दम तोड़ देता है टॉम,"By then the poor man has lost his life, Tom."
कहता है कि लगता है इस आदमी को फैंटास्टिक,Looks like this guy's retribution
के ह्यूमन टॉर्च के जैसा पूरी तरह बनाने,Completing like a flash of lightning
की कोशिश की जा रही थी लेकिन यह भी,"While trying, but also this"
बाकियों की तरह मारा गया अब इस ह्यूमन,It was hit like others.
टॉर्च की बॉडी को भी पोस्टमार्टम के लिए,"Even on the body of the candle, postmatum"
भेज दिया जाता है जहां से यह पता चलता है,Wherever sent it finds out
कि इसका सूट इस तरह से इसकी बॉडी पर लगाया,That suit put it on its body like this
गया है कि अगर सूट को निकाला गया तो उसके,That's if the suit is fired
साथ उसकी स्किन भी निकाली जाएगी क्योंकि,Because it's gonna be pulled out with her skin.
सबसे पहले इसकी बॉडी को एकदम ज्यादा हीट,The first part of the body is much larger than its body
दिया गया और उस हीट को कंट्रोल करने के,Given and under control of the same control
लिए यह सूट इसको पहनाया गया इस बॉडी की,The suit of this body was tied to it.
हालत को देखकर लगता है कि कम से कम इस,The condition seems to be at least like it
इंसान ने तीन दिनों तक काफी भयानक दर्द,Mankind suffered severe pain for three days
सहा है और उसके बाद बेचारे ने अपना दम,And then the poor gave up their lives
तोड़ दिया अब डेविड नॉर्मा से बात करके,He broke it now talking to David Norma
जेम्स को दोबारा टीम में शामिल करने को,James to join the team again
कहता है तब वो उसे बताती है कि जेम्स को,She then tells him that James is.
कैंसर है मैं चाहती हूं कि जेम्स अपना,I want James to have a cancer
आखिरी टाइम अपने बेटे के साथ बिताए,Last Time With My Son
क्योंकि उसके बेटे टॉम को भी इस बारे में,Because her son Tom is also talking about this.
नहीं पता कि उसके पिता कुछ दिनों के,I don't know her father for a few days
मेहमान है उन्हें कैंसर है यह सुनकर डेविड,"David, when he was diagnosed with cancer"
को भी काफी बुरा लगता है इसलिए वह डिनर पर,That's why she feels so bad at dinner.
जेम्स के यहां जाता है अब वहां आने के बाद,He goes to James now after he comes there
टॉम डेविड से उसके मातापिता के बारे में,About Tom David's father
पूछता है जिस पर डेविड कहता है कि उनकी,asks which David says his own
काफी टाइम पहले किसी ने जान ले ली थी मैं,A long time ago someone got to know me
अपने मातापिता के केस पर काम करना चाहता,Your parents want to work on your father's case
था लेकिन डिपार्टमेंट ने मुझे पर्सनल केस,But the Department offered me a personal case
पर काम करने की परमिशन दी ही नहीं अब ये,It's not the key to working now.
सुनकर टॉम उसे बताता है कि तुम्हारी,"Tom tells him that yours,"
स्टोरी तो बिल्कुल बैटमैन की ओरिजनल,The store has been called back to the Batman's side.
स्टोरी से मिलती है क्योंकि इस तरह से,Because this is what comes from a store.
बैटमैन की कहानी भी शुरू हुई थी यह सुनकर,"When the story of the Batman also began,"
डेविड थोड़ा हैरान रह जाता है और नॉर्मा,David is a bit surprised and Norma
के साथ अपने मातापिता के केस की फाइल को,File of your father's case with
निकालता है जिससे उसे पता चलता है कि,The One through whom He brings out what he learns
उन्हें मारने वाला भी वही किलर है जो अभी,He's even gonna kill them who's still
सारे लोगों को सुपर हीरो बनाकर मारने की,Killing all people as super hero.
कोशिश कर रहा है क्योंकि उन्हें उन फाइल,Trying to file those files
में एक नंबर कार्ड मिलता है जिसमें,Find a number of cards in
डिटेक्टिव  लिखा था और ये वही कॉमिक बुक,It was written correctly and was the same comic book
थी जिसमें बैटमैन की ओरिजिन स्टोरी है अब,It was in which the Batman has a frontier for now
ये सुनकर डेविड ड हक का वक्का रह जाता है,It's a time for David D. D.
कि कौन है यह अब टॉम नॉर्म और डेविड से,Who's this now from Tom Norm and David?
कहता है कि जो भी इंसान इन सारे लोगों को,"To all such people, the Bible says that ""the whole world is lying in the power of the wicked one. """
मार रहा है उसके पास जरूर सारे सुपर हीरोस,He must have got all Super Roses
की ओरिजिनल क्लासिक कॉमिक मौजूद होगी,The goalable classic comic is present
क्योंकि वो इंसान उसी हिसाब से लोगों की,For that is exactly what the people of the world think.
जान ले रहा है और ऐसी क्लासिक कॉमिक जल्दी,Knows and such classic comic fast
अवेलेबल नहीं होती लेकिन हां मैं एक इंसान,Not unable but I'm a man
को जानता हूं जिसे पता होगा कि क्लासिक,I know who the classic is.
कॉमिक किसके पास हो सकती है इसलिए सभी अब,Who might have a comic so now
उस आदमी के पास जाते हैं जो कि एक इलीगल,To the man who goes to an amalgling
कॉमिक डीलर होता है और दुनिया के हर तरह,There's a comic dealer and every way around the world
की कॉमिक इस आदमी के अलावा कहीं नहीं,The comic of this man is nowhere else
मिलेगी वो आदमी उन्हें बताता है कि ऐसे,The man tells them that such a thing is going on.
क्लासिक कॉमिक तो विक्टर नाम के एक आदमी,Classic comic so a man named Victor
ने मुझसे खरीदी थी वह उन्हें उसका एड्रेस,She bought me her addresses
भी देता है डेविड अब अकेले ही अपने,"Also, David is now alone"
मातापिता का बदला लेने निकल जाता है जहां,Where the father gets out to avenge the father.
उसे विक्टर के कमरे में उसकी ही बॉडी,His only body in Victor's room
दिखाई देती है जो कि मर चुका है डेविड,"David, who is dead, sees"
गुस्से में उसे ही शूट कर देता है लेकिन,He gets angry and lets him shoot but
तभी उसकी बॉडी से कोई गैस निकलने लग जाती,That would only make a gas break out of his body.
है और तभी वहां पर नोवा नाम का एक आदमी,And then a man named Nova is there
अजीब तरह का मास्क लगाया हुए आता है जो कि,The odd kind of mask that comes with that
असली किलर है तब विक्टर की बॉडी से निकली,He's real waiter then came out of Victor's body
हुई गैस की वजह से डेविड को लुसिन होने लग,"As a result of the gas, David began to be a catalyn"
जाते हैं जिससे उसे ऐसा लगता है कि नोवा,Let's go from where he feels that Nova
के मास्क से कीड़े निकल रहे हैं व उससे से,The insects are springing out of the heat and coming out of it.
पूछता है कि आखिर तुम ये सब कर क्यों रहे,"He asks, ""Why are you doing these things?"""
हो नोवा कहता है कि मेरी कहानी में तुम,Ho Nova says you in my story
हीरो हो और मैं विलन इसलिए मैं तुम्हें,He's the hero and I'm Wilson so I'm gonna make you.
यहां पर मारने आया हूं इसके बाद दोनों के,I've come here to kill both of them.
बीच खूब लड़ाई हो जाती है पर सही समय पर,It takes a lot of time to fight.
नॉर्मा वहां पर आकर नोबा को शूट करने की,Norma came over there and shot Noma
कोशिश करती है लेकिन ये देखकर नोवा उसकी,But they try to see her.
आंखों में स्प्रे करके उसे मार करर वहां,"Look at the eye, and strike her there"
से भाग जाता है अब डेविड टॉम को नोवा की,Runs David Tom to Nova now
सारी बात बताता है ये सुनकर टॉम उससे कहता,Tom tells her everything.
है कि नोवा खुद को सुपर विलन मान रहा है,That Nova's viewing himself supervin.
और तुमको एक सुपर हीरो इसका मतलब साफ है,And you clearly understand what it means to be a super hero.
कि वह तुमसे एक डिटेक्टिव की तरह नहीं एक,"That He is not like you, [O Muhammad], in order that you are not of the profligate."
सुपर हीरो की तरह लड़ना चाहता है इसलिए,Because Super wants to fight like hero.
तुम्हें भी सुपर हीरो की तरह उससे लड़ने,You fight him like Super hero.
के लिए तैयार हो जाना चाहिए इतना ही नहीं,Not that one should be ready for
अभी तक उसने जितने लोगों को मारा वो सिर्फ,Only the people he killed until now
इसीलिए ताकि तुम उस तक पहुंच सको अब ये,That you may reach it.
सुनकर डेविड हैरान जाता है कि मेरा ऐसा,"When David hears it, it's amazing that I do."
कौन सा दुश्मन है उसे यकीन ही नहीं हो रहा,I'm not sure who is the enemy.
था कि कोई ऐसा भी कर सकता है इसलिए वो टॉम,That nobody could do it so he was Tom
की बात को मानते हुए एक अजीब सुपर हीरो,A strange super hero heeding what is said
वाला कॉस्ट्यूम पहनकर नोवा के पास जाने के,Go to Nova
लिए तैयार हो जाता है दूसरी तरफ जेम्स,James gets ready on the other side
चुपके से ऑफिस आकर नोवा के बारे में,"In secret, the office comes and about Nova"
जानकारी निकालने की कोशिश करता है जिससे,Trys to extract information from
उसे नोवा की रियल आइडेंटिटी मिल जाती है,He's found the integrality of Nova
कि असल में वो इंसान है कौन फिर वो ये,Who really is this person?
जानकारी डेविड के पास लेकर जा रहा होता है,The information is taking to David
तभी वहां पर नोवा आकर उस पर हमला कर देता,"At that time, Nova would come and attack him"
है और उसे बंधी बनाकर अपने पास लेकर जाता,And take him to himself and make him a chain.
है इसके बाद वो डेविड को फोन लगाकर कहता,After that he calls David on his phone
है कि जेम्स मेरे कब्जे में है अगर उसे,That James is in my hand if he is
जिंदा देखना चाहते हो तो तुम्हें एक सुपर,"If you want to see the living, you have a super.."
हीरो बनकर मेरे पास आना होगा वो भी अकेले,He must come to me as a hero too alone
अब डेविड ये सुनकर बड़ा हैरान रह जाता है,David is surprised to hear this.
टॉम भी घबरा जाता है इसलिए वो डेविड को,Tom too is nervous so he's nervous.
अपने भाई की पुलिस वर्दी पहना देता है,She wears a brother's police uniform
जिसे वो और नॉर्मा थोड़ा मोडिफाई करके एक,One by one and Norma's doing a little mode.
सुपर हीरो वाला लुक दे देते हैं जहां अब,Super hero Looks where now
डेविड सुपर हीरो बनकर नोवा से लड़ने के,David Supersa fight with Nova as a hero
लिए निकल जाता है और उसने अपना नाम,She gets out and has her name
सुपरहीरो एप्स रखा होता है इधर जेम्स को,The supercomps are kept here to James
नोवा ने कैद करके रखा होता है तभी जेम्स,Nova puts him in prison until James is James
उसे कहता है कि अपना मास्क तो हटाओ मैं,Let him take his mask off I
जान चुका हूं आखिर तुम हो कौन नोवा अपना,I've already known who you are.
मास्क हटा देता है जो कि कोई और नहीं,Removes the action that no one else does
बल्कि वही पोस्टमार्टम करने वाला डॉक्टर,"Rather, the same postcommermor doctor"
है वो जेमस से कहता है कि मैं दुनिया को,He tells Thomas that I am to the world
एक सुपर हीरो देना चाहता हूं जिसके लिए,I want to give a super hero for whom.
डेविड की स्टोरी बिल्कुल परफेक्ट है एक,David's store is a perfect one
बैटमैन की तरह और आज तक मैंने जितने भी,Like Batman and as far as I did
लोगों को सुपर हीरो बनाने की कोशिश की वो,He tried to make people super hero.
सारे क्रिमिनल्स थे जो कभी पुलिस के हाथों,All the Sinmins ever had the police' hands.
पकड़े नहीं गए इसलिए मैंने उन्हें एक,So I didn't catch them one
एक्सपेरिमेंट के लिए चुना लेकिन उन पर,Choosed for expandment but over them
मेरा एक्सपेरिमेंट सफल नहीं रहा इसलिए सभी,All because my expression hasn't been successful
लोग मारे गए पर अब मुझे बैटमैन जैसा सुपर,People killed but now I'm a Batman
हीरो चाहिए जिसके पास सुपर पावर्स तो ना,He must have a superpowers no
हो लेकिन बैक स्टोरी दिमाग स्किल ये सारी,But back up the lofty brain is all this
चीजें कूटकूट कर भरी हुई हो और वो सारे,Things got sorty and it's all!
गुण सिर्फ और सिर्फ डेविड के अंदर मौजूद,Property only exists inside David
हैं हम लेकिन चिंता मत करो मैं खुद की भी,We're but don't worry I belong to myself
जान लेने वाला हूं क्योंकि जब तक मैं,Because I'm gonna kill until I know.
मरूंगा नहीं तब तक डेविड को खुद पर यकीन,David's confidence in God's promise that he will not die
कैसे होगा कि वह विलन को हरा सकता है,How will he beat Wilkin?
जिसके बाद वह अपना मुंह एसेट के अंदर डाल,After which he put his mouth in aset
देता है और इससे उसका मुंह ही पिघल जाता,"and it melts and melts away his face,"
है बड़ा अजीब किस्म का इंसान है लगता है,It seems to be a strange kind of person
घंटे बस सुपर हीरोज का नशा करता है,Hours just drug against Super Herosos
खैर अब वहां पर डेविड आ जाता है जिसके आते,So David comes there now by which he comes
ही नोवा जेम्स को शूट करके मार देता है ये,He shoots Nova James and kills him
देखकर डेविड को काफी गुस्सा आ जाता है,David gets angry
इससे दोनों के बीच घमासान लड़ाई शुरू हो,You start a hard fight between the two.
जाती है जिस लड़ाई के दौरान डेविड नुवा का,In the battle that David Neuva goes
मास्क घटा देता है लेकिन एसिड की वजह से,"Reduces mask, but due to acid"
उसे पहचान नहीं पाता हो यह देखकर नोवा,Nova sees him
हंसते हुए कहता है डेविड से तुम्हें क्या,laughs what David says to you.
लगा था तुम इतनी आसानी से अपने मातापिता,You thought so easily your parents were your father
के हत्यारे का चेहरा देख लोगे हम ऐसा नहीं,You'll see the face of the killer killer we won't.
हो सकता क्योंकि बुराई का कोई चेहरा नहीं,Because There Is No Face of Evil
होता इसके बाद वो एसेट में खूद करर खद की,"After that, he was murdered in Eseter's lounge."
जान देने की कोशिश करता है लेकिन कूदने से,She tries to give life but from jump.
पहले वो डेविड से कहता है कि मैं एक,First he tells David that I am one
क्रिमिनल हूं और तुम डिटेक्टिव तुम्हारा,"Centin is Centin, and you have to be able to recognize it as yours.."
काम है क्रिमिनल को जेल पहुंचाना जिसे,It's working for Cinminal to prison.
कानून इंसाफ देगा ना कि किसी को ऐसे मरते,The law will not give justice to anyone to die
हुए छोड़ना इसलिए आओ और मुझे सजा दो लेकिन,Come out and condemn me but
डेविड कहता है कि तुमने ही तो कहा था,David says that you said it was you
तुम्हें सुपर हीरो की जरूरत है ना कि,You need super hero not that
पुलिस वाले की इसलिए आज जो तुम्हारे सामने,That's why you're a cop today
खड़ा है वो डिटेक्टिव नहीं बल्कि एक सुपर,Vertical is not the corrective but a super.
हीरो है और यह सुनकर नोवा एकदम खुश हो,He's a hero and he's happy to hear it.
जाता है क्योंकि उसका प्लान सफल रहा वो,That's because his plan worked out.
डेविड को एक सुपर हीरो बनाना चाहता था जो,David who wanted to make a super hero.
कि आज बन भी गया इसलिए वह बट में कूद करर,that today he may be among the followers of the falsehood?
खुद की जान दे देता है और कुछ टाइम के बाद,Kills himself and after a while
डेविड और बाकी उसके घर जाते हैं जहां से,David and the rest go to his home from where
उन्हें बेसमेंट में जाने का रास्ता दिखाई,Show them the way to move into the basement
देता है अंदर आने पर वो बिल्कुल बैटमैन के,He gives in when he comes in. He's the very Batman's.
बेसमेंट वाली जगह दिखती है वहां पर एक,The basement position looks at the position there
सुपर कंप्यूटर भी रखा होता है क्योंकि,This is because the Super computer is also kept
यहीं से नवा सारी चीजें कंट्रोल करता था,It was here that Neva used to control everything
इससे सभी समझ जाते हैं कि नोबा कोई और,It makes everyone understand that Nob has any other one
नहीं बल्कि पोस्टमार्टम वाला वो डॉक्टर ही,"No, the postcommermor is the doctor."
था इसलिए अब से डेविड सुबह डिटेक्टिव की,"From now on, David was able to sort the morningwise."
नौकरी करता है और रात को एप्स बनकर शहर के,Jobs and the city's exits at night
बदमाशों से शहर को प्रोटेक्ट करता है,It is also a challenge to avoid being caught up in a crime - free world.
बिल्कुल एक सुपर हीरो की तरह भले ही नवा,Of course not like a superHero
का तरीका गलत था लेकिन आखिरकार उसने,The way was wrong but eventually
दुनिया को एक सुपर हीरो दे ही दिया और इसी,The world's only got a super hero and that's it.
आप कह सकते हैं मिक्स फीलिंग के साथ यह,You can say it with mixed fing
मूवी यहां पर खत्म हो जाती है मुझे पता है,I know I'd end up on theatre.
रॉकर्स भाइयों अब आप कहोगे कि यह कैसी,Rockers brothers now you'll say how it's?
मूवी थी लेकिन कभीकभी हमें इस तरह की,But sometimes we're like this.
मूवी भी विटनेस करनी चाहिए क्योंकि एक अलग,The movie also needs to be organized because one is different
एक्सपीरियंस आता है है ना बाकी अगर आपको,Expension doesn't happen to you any more if you want to
वीडियो अच्छी लगी हो एक्सप्लेनेशन अच्छा,Video seem to be good Xplayion good
लगा हो तो लाइक कीजिए और चैनल को,If you think you're driving and you need to give the channel.
सब्सक्राइब मिलते हैं ऐसी बेहतरीन मूवीज,It's a great film with all of this
के साथ तब तक के लिए ध्यान रखिए अपना एंड,Take care of yourself and your family until then
हां फाइनली थैंक्स फॉर,"Yes, Final Thankss for"
वाचिंग,Wing
